Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Salernitana,Spezia,1,2,A,1,1,D,1.87,3.62,4.4,1.85,3.6,4.0,,,,1.8,3.6,4.25
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Trapani,Crotone,2,0,H,0,0,D,1.85,4.09,3.96,1.75,4.0,4.1,,,,1.8,3.8,4.0
2019/2020,2020-07-29 20:45:00,I1,Italy,Serie A,,Fiorentina,Bologna,4,0,H,0,0,D,2.05,3.58,3.77,2.0,3.6,3.5,,,,2.0,3.5,3.6
2019/2020,2020-07-29 20:45:00,I1,Italy,Serie A,,Cagliari,Juventus,2,0,H,2,0,H,6.35,4.22,1.56,6.0,4.2,1.53,,,,6.0,4.1,1.53
2019/2020,2020-07-29 20:45:00,I1,Italy,Serie A,,Torino,Roma,2,3,A,1,2,A,4.86,4.06,1.72,4.5,4.0,1.7,,,,4.5,4.0,1.7
2019/2020,2020-07-29 18:30:00,I1,Italy,Serie A,,Verona,Spal,3,0,H,2,0,H,1.56,4.42,6.01,1.53,4.2,5.75,,,,1.55,4.25,5.5
2019/2020,2020-07-29 18:30:00,I1,Italy,Serie A,,Lazio,Brescia,2,0,H,1,0,H,1.18,7.81,16.62,1.16,7.5,15.0,,,,1.19,7.0,13.5
2019/2020,2020-07-29 18:30:00,I1,Italy,Serie A,,Sampdoria,Milan,1,4,A,0,1,A,5.01,4.09,1.69,4.75,4.0,1.66,,,,4.8,3.9,1.67
2019/2020,2020-07-29 18:30:00,I1,Italy,Serie A,,Sassuolo,Genoa,5,0,H,2,0,H,2.39,3.58,2.97,2.4,3.4,2.9,,,,2.35,3.5,2.85
2019/2020,2020-07-29 18:30:00,I1,Italy,Serie A,,Udinese,Lecce,1,2,A,1,1,D,2.34,3.62,3.04,2.3,3.7,2.87,,,,2.3,3.6,2.85
2019/2020,2020-07-28 20:45:00,I1,Italy,Serie A,,Inter,Napoli,2,0,H,1,0,H,2.05,3.79,3.55,2.05,3.75,3.4,,,,2.05,3.6,3.4
2019/2020,2020-07-28 18:30:00,I1,Italy,Serie A,,Parma,Atalanta,1,2,A,1,0,H,7.77,5.48,1.38,8.0,5.5,1.33,,,,8.0,5.5,1.33
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Pordenone,Salernitana,1,1,D,1,1,D,2.54,3.11,3.09,2.45,3.2,2.9,,,,2.35,3.2,2.95
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Benevento,Chievo,0,1,A,0,1,A,2.86,3.26,2.61,2.8,3.3,2.45,,,,2.6,3.2,2.6
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Spezia,Virtus Entella,0,0,D,0,0,D,1.89,3.45,4.57,1.83,3.3,4.6,,,,1.85,3.3,4.2
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Pisa,Ascoli,1,0,H,1,0,H,2.22,3.35,3.44,2.2,3.3,3.25,,,,2.2,3.1,3.25
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Perugia,Trapani,1,2,A,1,1,D,2.29,3.17,3.48,2.2,3.25,3.3,,,,2.2,3.0,3.4
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Empoli,Cosenza,1,5,A,0,3,A,1.93,3.48,4.33,1.85,3.4,4.33,,,,1.9,3.3,4.0
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Crotone,Frosinone,1,0,H,0,0,D,3.19,3.28,2.38,3.1,3.2,2.3,,,,3.0,3.2,2.3
2019/2020,2020-07-26 20:45:00,I1,Italy,Serie A,,Juventus,Sampdoria,2,0,H,1,0,H,1.27,6.07,12.19,1.25,6.0,11.0,,,,1.25,6.0,10.5
2019/2020,2020-07-26 19:30:00,P1,Portugal,Liga I,,Portimonense,Aves,2,0,H,0,0,D,1.16,7.34,23.64,1.14,6.5,23.0,,,,1.15,6.75,20.0
2019/2020,2020-07-26 19:30:00,P1,Portugal,Liga I,,Setubal,Belenenses,2,0,H,1,0,H,1.64,3.98,5.59,1.66,3.6,5.25,,,,1.62,3.8,5.25
2019/2020,2020-07-26 18:30:00,I1,Italy,Serie A,,Verona,Lazio,1,5,A,1,1,D,3.52,3.55,2.14,3.4,3.6,2.05,,,,3.5,3.6,2.0
2019/2020,2020-07-26 18:30:00,I1,Italy,Serie A,,Cagliari,Udinese,0,1,A,0,1,A,3.74,3.47,2.1,3.75,3.5,2.0,,,,3.8,3.5,1.95
2019/2020,2020-07-26 18:30:00,I1,Italy,Serie A,,Roma,Fiorentina,2,1,H,1,0,H,1.65,4.35,5.09,1.61,4.2,5.0,,,,1.6,4.33,5.0
2019/2020,2020-07-26 18:30:00,I1,Italy,Serie A,,Spal,Torino,1,1,D,0,0,D,5.95,4.3,1.58,5.75,4.33,1.53,,,,5.5,4.1,1.57
2019/2020,2020-07-26 16:15:00,I1,Italy,Serie A,,Bologna,Lecce,3,2,H,2,1,H,2.43,3.67,2.86,2.4,3.6,2.8,,,,2.3,3.7,2.8
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,M Dean,Arsenal,Watford,3,2,H,3,1,H,1.93,4.04,3.79,1.9,3.8,3.8,,,,1.91,3.75,3.8
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,A Taylor,Newcastle,Liverpool,1,3,A,1,1,D,7.79,5.07,1.41,7.5,5.25,1.36,,,,7.5,4.75,1.42
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,S Attwell,Chelsea,Wolves,2,0,H,2,0,H,1.88,3.81,4.29,1.85,3.8,4.0,,,,1.8,3.8,4.25
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,A Marriner,Crystal Palace,Tottenham,1,1,D,0,1,A,6.4,4.27,1.56,6.0,4.2,1.55,,,,6.0,4.2,1.55
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,C Kavanagh,Everton,Bournemouth,1,3,A,1,2,A,2.26,3.87,3.03,2.25,3.7,3.0,,,,2.25,3.8,2.9
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,M Atkinson,Leicester,Man United,0,2,A,0,0,D,3.25,3.51,2.28,3.25,3.5,2.2,,,,3.2,3.5,2.2
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,C Pawson,Man City,Norwich,5,0,H,2,0,H,1.08,13.1,30.22,1.08,11.0,26.0,,,,1.05,13.5,41.0
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,J Moss,Burnley,Brighton,1,2,A,1,1,D,2.34,3.55,3.11,2.37,3.4,3.0,,,,2.3,3.4,3.1
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,P Bankes,Southampton,Sheffield United,3,1,H,0,1,A,2.18,3.54,3.46,2.15,3.5,3.3,,,,2.2,3.5,3.2
2019/2020,2020-07-26 16:00:00,E0,England,Premier League,M Oliver,West Ham,Aston Villa,1,1,D,0,0,D,3.12,3.62,2.31,3.0,3.6,2.3,,,,3.0,3.5,2.3
2019/2020,2020-07-26 15:00:00,T1,Turkey,Futbol Ligi 1,,Kasimpasa,Buyuksehyr,3,2,H,2,0,H,2.78,3.68,2.45,2.87,3.5,2.3,,,,3.1,3.6,2.15
2019/2020,2020-07-25 21:15:00,P1,Portugal,Liga I,,Sp Braga,Porto,2,1,H,0,1,A,2.74,3.72,2.46,2.75,3.75,2.3,,,,2.75,3.7,2.3
2019/2020,2020-07-25 21:15:00,P1,Portugal,Liga I,,Benfica,Sp Lisbon,2,1,H,1,0,H,1.97,3.64,3.92,1.9,3.4,4.1,,,,1.9,3.4,4.0
2019/2020,2020-07-25 20:45:00,I1,Italy,Serie A,,Napoli,Sassuolo,2,0,H,1,0,H,1.59,4.52,5.41,1.55,4.5,5.5,,,,1.57,4.4,5.0
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Konyaspor,Alanyaspor,2,3,A,2,0,H,2.95,3.61,2.36,2.87,3.5,2.3,,,,2.95,3.5,2.25
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Kayserispor,Trabzonspor,1,2,A,0,0,D,3.21,3.67,2.19,2.9,3.6,2.25,,,,3.0,3.8,2.1
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Goztep,Sivasspor,3,1,H,1,0,H,4.36,4.11,1.76,4.75,3.8,1.61,,,,4.6,3.8,1.7
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Fenerbahce,Rizespor,3,1,H,1,0,H,2.51,3.37,2.9,2.3,3.3,3.0,,,,2.4,3.4,2.8
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Denizlispor,Ankaragucu,0,1,A,0,0,D,,,,1.5,4.33,5.0,,,,1.53,4.4,5.25
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Genclerbirligi,Besiktas,0,3,A,0,0,D,3.49,4.55,1.88,3.5,4.5,1.8,,,,3.4,4.4,1.83
2019/2020,2020-07-25 19:00:00,T1,Turkey,Futbol Ligi 1,,Yeni Malatyaspor,Gaziantep,0,1,A,0,0,D,,,,1.61,4.0,4.0,,,,1.67,4.0,4.5
2019/2020,2020-07-25 19:00:00,P1,Portugal,Liga I,,Maritimo,Famalicao,3,3,D,1,1,D,3.79,3.73,1.98,3.8,3.6,1.9,,,,3.8,3.4,1.95
2019/2020,2020-07-25 19:00:00,P1,Portugal,Liga I,,Boavista,Rio Ave,0,2,A,0,1,A,4.52,4.16,1.72,5.0,3.6,1.7,,,,4.75,3.7,1.7
2019/2020,2020-07-25 18:30:00,I1,Italy,Serie A,,Genoa,Inter,0,3,A,0,1,A,5.19,4.22,1.65,5.0,4.2,1.61,,,,5.0,4.1,1.62
2019/2020,2020-07-25 16:15:00,I1,Italy,Serie A,,Brescia,Parma,1,2,A,0,0,D,3.52,3.79,2.06,3.3,3.8,2.05,,,,3.4,3.6,2.05
2019/2020,2020-07-24 21:15:00,P1,Portugal,Liga I,,Gil Vicente,Pacos Ferreira,3,3,D,2,2,D,2.57,3.27,2.9,2.45,3.25,2.87,,,,2.35,3.3,2.95
2019/2020,2020-07-24 20:45:00,I1,Italy,Serie A,,Milan,Atalanta,1,1,D,1,1,D,2.91,3.88,2.32,2.87,3.9,2.25,,,,2.85,3.9,2.25
2019/2020,2020-07-24 20:00:00,I2,Italy,Serie B,,Salernitana,Empoli,2,4,A,1,3,A,2.45,3.23,3.11,2.45,3.1,3.0,,,,2.4,3.1,3.0
2019/2020,2020-07-24 20:00:00,I2,Italy,Serie B,,Frosinone,Benevento,2,3,A,1,3,A,1.78,3.59,5.03,1.75,3.5,4.75,,,,1.78,3.4,4.75
2019/2020,2020-07-24 20:00:00,I2,Italy,Serie B,,Ascoli,Pordenone,2,2,D,1,2,A,2.65,3.02,3.03,2.5,3.1,2.9,,,,2.45,3.0,3.0
2019/2020,2020-07-24 20:00:00,I2,Italy,Serie B,,Trapani,Pescara,1,0,H,1,0,H,2.37,3.2,3.29,2.3,3.2,3.1,,,,2.35,3.1,3.1
2019/2020,2020-07-24 19:00:00,T1,Turkey,Futbol Ligi 1,,Antalyaspor,Galatasaray,2,2,D,1,0,H,3.19,3.72,2.19,3.25,3.75,2.05,,,,3.2,3.7,2.05
2019/2020,2020-07-24 19:00:00,P1,Portugal,Liga I,,Santa Clara,Guimaraes,2,2,D,2,1,H,3.22,3.46,2.27,3.3,3.4,2.15,,,,3.3,3.3,2.15
2019/2020,2020-07-23 20:45:00,I1,Italy,Serie A,,Lazio,Cagliari,2,1,H,0,1,A,1.48,4.71,6.74,1.45,4.33,7.0,,,,1.48,4.5,6.5
2019/2020,2020-07-23 18:30:00,I1,Italy,Serie A,,Udinese,Juventus,2,1,H,0,1,A,5.48,4.02,1.66,5.25,3.75,1.65,,,,5.25,3.9,1.65
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Lecce,Brescia,3,1,H,2,0,H,1.84,4.05,4.11,1.75,4.0,4.1,,,,1.8,3.9,4.25
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Spal,Roma,1,6,A,1,2,A,8.24,5.44,1.37,8.5,5.0,1.36,,,,8.0,5.25,1.36
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Inter,Fiorentina,0,0,D,0,0,D,1.48,4.85,6.6,1.45,4.5,6.5,,,,1.45,4.6,7.0
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Torino,Verona,1,1,D,0,0,D,2.41,3.35,3.12,2.37,3.25,3.0,,,,2.4,3.3,3.0
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Sampdoria,Genoa,1,2,A,1,1,D,2.53,3.31,2.97,2.5,3.2,2.87,,,,2.55,3.3,2.8
2019/2020,2020-07-22 20:15:00,E0,England,Premier League,A Marriner,Liverpool,Chelsea,5,3,H,3,1,H,2.08,3.71,3.59,2.0,3.75,3.5,,,,1.95,3.8,3.6
2019/2020,2020-07-22 19:30:00,E1,England,Championship,S Martin,Reading,Swansea,1,4,A,1,1,D,3.87,3.71,1.96,3.9,3.4,1.95,,,,3.7,3.3,2.0
2019/2020,2020-07-22 19:30:00,E1,England,Championship,J Gillett,Sheffield Weds,Middlesbrough,1,2,A,1,1,D,2.37,3.24,3.24,2.2,3.4,3.2,,,,2.2,3.25,3.25
2019/2020,2020-07-22 19:30:00,E1,England,Championship,D England,West Brom,QPR,2,2,D,1,1,D,1.24,6.23,12.74,1.22,6.5,11.0,,,,1.25,6.0,10.0
2019/2020,2020-07-22 19:30:00,E1,England,Championship,G Ward,Nott'm Forest,Stoke,1,4,A,0,1,A,2.19,3.32,3.54,2.1,3.3,3.5,,,,2.15,3.3,3.3
2019/2020,2020-07-22 19:30:00,E1,England,Championship,K Stroud,Millwall,Huddersfield,4,1,H,1,1,D,2.44,3.29,3.08,2.37,3.25,3.0,,,,2.35,3.2,3.0
2019/2020,2020-07-22 19:30:00,E1,England,Championship,D Bond,Luton,Blackburn,3,2,H,2,1,H,1.81,3.8,4.49,1.72,3.75,4.75,,,,1.75,3.6,4.5
2019/2020,2020-07-22 19:30:00,E1,England,Championship,G Eltringham,Leeds,Charlton,4,0,H,2,0,H,1.72,4.01,4.72,1.65,4.2,4.5,,,,1.62,4.1,4.75
2019/2020,2020-07-22 19:30:00,E1,England,Championship,J Brooks,Wigan,Fulham,1,1,D,1,0,H,2.57,3.72,2.61,2.55,3.6,2.5,,,,2.55,3.6,2.5
2019/2020,2020-07-22 19:30:00,E1,England,Championship,T Robinson,Birmingham,Derby,1,3,A,0,1,A,2.75,3.23,2.73,2.7,3.2,2.62,,,,2.7,3.1,2.65
2019/2020,2020-07-22 19:30:00,E1,England,Championship,R Jones,Brentford,Barnsley,1,2,A,0,1,A,1.38,4.92,8.86,1.36,5.0,8.0,,,,1.33,5.0,8.25
2019/2020,2020-07-22 19:30:00,E1,England,Championship,A Woolmer,Bristol City,Preston,1,1,D,0,1,A,2.75,3.33,2.66,2.62,3.3,2.6,,,,2.7,3.2,2.6
2019/2020,2020-07-22 19:30:00,E1,England,Championship,J Linington,Cardiff,Hull,3,0,H,2,0,H,1.39,4.86,8.51,1.36,5.0,7.5,,,,1.36,5.0,7.25
2019/2020,2020-07-22 18:30:00,I1,Italy,Serie A,,Parma,Napoli,2,1,H,1,0,H,5.86,4.41,1.57,5.5,4.2,1.55,,,,5.5,4.25,1.57
2019/2020,2020-07-22 18:00:00,E0,England,Premier League,P Tierney,Man United,West Ham,1,1,D,0,1,A,1.26,6.37,12.18,1.22,6.5,11.0,,,,1.25,6.25,11.5
2019/2020,2020-07-21 21:15:00,P1,Portugal,Liga I,,Aves,Benfica,0,4,A,0,1,A,14.8,6.42,1.22,9.0,6.5,1.25,,,,11.0,6.25,1.22
2019/2020,2020-07-21 20:45:00,I1,Italy,Serie A,,Sassuolo,Milan,1,2,A,1,2,A,3.54,3.92,2.02,3.5,4.0,1.9,,,,3.6,3.7,2.0
2019/2020,2020-07-21 20:15:00,E0,England,Premier League,C Kavanagh,Aston Villa,Arsenal,1,0,H,1,0,H,3.24,3.94,2.14,3.3,3.6,2.1,,,,3.25,3.9,2.05
2019/2020,2020-07-21 19:00:00,P1,Portugal,Liga I,,Sp Lisbon,Setubal,0,0,D,0,0,D,1.37,4.98,8.88,1.4,4.5,7.5,,,,1.4,4.5,7.5
2019/2020,2020-07-21 18:30:00,I1,Italy,Serie A,,Atalanta,Bologna,1,0,H,0,0,D,1.29,6.31,10.04,1.28,5.25,10.0,,,,1.28,6.0,9.5
2019/2020,2020-07-21 18:00:00,E0,England,Premier League,M Oliver,Watford,Man City,0,4,A,0,2,A,8.57,5.73,1.34,8.5,5.5,1.33,,,,9.0,5.75,1.3
2019/2020,2020-07-20 21:15:00,P1,Portugal,Liga I,,Porto,Moreirense,6,1,H,1,1,D,1.34,5.35,8.87,1.36,4.75,8.0,,,,1.33,5.0,8.75
2019/2020,2020-07-20 20:45:00,I1,Italy,Serie A,,Juventus,Lazio,2,1,H,0,0,D,1.67,4.24,4.99,1.66,4.0,4.75,,,,1.67,4.0,5.0
2019/2020,2020-07-20 20:15:00,E0,England,Premier League,P Bankes,Wolves,Crystal Palace,2,0,H,1,0,H,1.51,4.12,8.08,1.5,4.0,7.5,,,,1.5,3.9,7.75
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Ponferradina,2,1,H,1,0,H,2.17,3.38,3.52,2.1,3.3,3.5,,,,2.0,3.4,3.6
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Almeria,Malaga,0,0,D,0,0,D,2.2,3.19,3.69,2.1,3.2,3.6,,,,2.05,3.1,3.5
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Elche,Oviedo,2,1,H,1,1,D,1.51,4.05,7.54,1.5,4.1,6.5,,,,1.48,4.0,5.75
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Lugo,Mirandes,2,1,H,0,1,A,1.5,4.04,7.78,1.45,4.1,7.5,,,,1.42,4.0,7.0
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Numancia,Tenerife,2,1,H,1,0,H,1.52,3.88,7.88,1.45,4.1,7.5,,,,1.4,4.0,7.25
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Santander,Vallecano,1,2,A,1,0,H,8.21,4.4,1.44,8.0,4.5,1.4,,,,7.5,3.9,1.4
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Sp Gijon,Huesca,0,1,A,0,0,D,3.36,3.15,2.36,3.3,3.1,2.15,,,,3.1,3.0,2.25
2019/2020,2020-07-20 19:15:00,P1,Portugal,Liga I,,Tondela,Sp Braga,1,0,H,0,0,D,5.37,4.29,1.61,5.5,4.0,1.57,,,,5.5,4.2,1.55
2019/2020,2020-07-20 18:00:00,E0,England,Premier League,S Attwell,Sheffield United,Everton,0,1,A,0,0,D,2.18,3.42,3.57,2.2,3.25,3.5,,,,2.15,3.3,3.5
2019/2020,2020-07-20 18:00:00,E0,England,Premier League,S Hooper,Brighton,Newcastle,0,0,D,0,0,D,1.97,3.48,4.3,1.9,3.4,4.33,,,,1.95,3.4,4.2
2019/2020,2020-07-20 17:30:00,SP2,Spain,La Liga Segunda Division,,Las Palmas,Extremadura UD,5,1,H,4,0,H,2.03,3.24,4.25,1.9,3.4,4.0,,,,1.85,3.2,4.0
2019/2020,2020-07-20 17:00:00,P1,Portugal,Liga I,,Pacos Ferreira,Portimonense,2,1,H,2,1,H,2.99,2.96,2.72,2.8,3.1,2.62,,,,2.75,3.25,2.5
2019/2020,2020-07-19 21:15:00,P1,Portugal,Liga I,,Guimaraes,Maritimo,1,0,H,1,0,H,1.68,3.95,5.21,1.61,4.0,5.0,,,,1.62,4.0,5.0
2019/2020,2020-07-19 20:45:00,I1,Italy,Serie A,,Roma,Inter,2,2,D,1,1,D,3.14,3.64,2.27,3.0,3.6,2.2,,,,3.0,3.5,2.3
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Sevilla,Valencia,1,0,H,0,0,D,1.93,3.78,3.99,1.9,3.4,4.0,,,,1.9,3.6,3.8
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Osasuna,Mallorca,2,2,D,1,1,D,1.79,3.92,4.52,1.75,3.75,4.2,,,,1.78,3.5,4.4
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Levante,Getafe,1,0,H,0,0,D,5.14,3.41,1.83,5.0,3.8,1.66,,,,5.0,3.6,1.7
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Leganes,Real Madrid,2,2,D,1,1,D,2.88,3.54,2.48,2.62,3.8,2.35,,,,2.85,3.4,2.35
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Granada,Ath Bilbao,4,0,H,1,0,H,1.99,3.65,3.91,2.0,3.5,3.4,,,,2.1,3.2,3.5
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Celta,0,0,D,0,0,D,6.1,3.83,1.64,5.0,3.8,1.66,,,,5.75,3.7,1.6
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Besiktas,Fenerbahce,2,0,H,0,0,D,2.24,3.5,3.24,2.15,3.5,3.1,,,,2.25,3.5,2.95
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Buyuksehyr,Kayserispor,1,0,H,1,0,H,1.42,5.04,7.16,1.4,5.0,6.5,,,,1.4,5.0,6.5
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Sivasspor,Genclerbirligi,2,0,H,1,0,H,1.68,4.02,5.03,1.66,3.8,4.75,,,,1.7,3.8,4.6
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Trabzonspor,Konyaspor,3,4,A,1,1,D,1.54,4.37,6.06,1.53,4.5,5.5,,,,1.5,4.5,5.5
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Ankaragucu,Antalyaspor,0,1,A,0,0,D,,,,1.8,3.5,3.75,,,,1.83,3.7,4.0
2019/2020,2020-07-19 19:00:00,T1,Turkey,Futbol Ligi 1,,Alanyaspor,Denizlispor,1,0,H,0,0,D,1.61,4.19,5.47,1.57,4.0,5.75,,,,1.55,4.1,5.5
2019/2020,2020-07-19 19:00:00,P1,Portugal,Liga I,,Belenenses,Gil Vicente,1,0,H,0,0,D,2.33,3.39,3.16,2.37,3.1,3.1,,,,2.35,3.1,3.1
2019/2020,2020-07-19 18:30:00,I1,Italy,Serie A,,Genoa,Lecce,2,1,H,1,0,H,1.93,3.91,3.91,1.9,3.75,3.6,,,,1.87,3.75,4.0
2019/2020,2020-07-19 18:30:00,I1,Italy,Serie A,,Fiorentina,Torino,2,0,H,1,0,H,2.01,3.34,4.26,1.95,3.2,4.2,,,,2.0,3.3,4.0
2019/2020,2020-07-19 18:30:00,I1,Italy,Serie A,,Napoli,Udinese,2,1,H,1,1,D,1.52,4.45,6.63,1.5,4.33,6.0,,,,1.5,4.4,6.25
2019/2020,2020-07-19 18:30:00,I1,Italy,Serie A,,Brescia,Spal,2,1,H,0,1,A,2.33,3.63,3.04,2.37,3.4,2.87,,,,2.3,3.4,3.1
