groupName,artist
buffalo gals,malcolm mclaren & world's famous supreme team
(hey you) the rock steady crew,the rock steady crew
it&#39;s a beat wave,warp 9
whodini,whodini
duck rock,malcolm mclaren
street dance,break machine
juicy fruit (vls),mtume
future shock,herbie hancock
d&#39;ya like scratchin&#39;,malcolm mclaren
king of the beat,pumpkin
lost in space,jonzun crew
whip it,the treacherous three
cooky puss,beastie boys
two sisters lp,two sisters
wild style,various artists
looking for the perfect beat,afrika bambaataa & soulsonic force
death mix,afrika bambaataa
planet patrol,planet patrol
when i hear music,debbie deb
do you wanna dance,lavias
arkade funk,tilt
search and destroy,arkade funk
grandmaster flash &amp; the furious five,grandmaster flash & the furious five
soweto,malcolm mclaren
punk rock rap,cold crush brothers
get on up,jazzy dee
b-boy (oh-la-oh),bon rock
don&#39;t stop rappin&#39;,too $hort
beat bop,k-rob & rammellzee
to be or not to be (the hitler rap),mel brooks
tour de france,10-speed
the best rapper on the scene,kurtis blow
the sequence party,the sequence
bubble up,big tony
electro 2,herbie laidley & mastermind
wildstyle,time zone
spacey lady,maurice starr
renegades of funk,afrika bambaataa & soulsonic force
white lines (don&#39;t don&#39;t do it),grandmaster & melle mel
it&#39;s like that,run-d.m.c.
the crown,gary byrd and the gb experience
in the 80&#39;s,t-ski valley
it&#39;s like that / sucker m.c.&#39;s,run-d.m.c.
white lines (don&#39;t do it) / message ii (survival),duke bootee & grandmaster & melle mel
radio activity,royalcash
double dutch,malcolm mclaren
streetsounds electro 1,various artists
streetsounds electro 2,various artists
play that beat mr. d.j.,g.l.o.b.e. & whiz kid
the party scene,the russell brothers
problems of the world,the fearless four
project 5,synergy
the return of capt. rock,captain rock
feel the force,g-force
rap attack ii,various artists
no sell out,keith leblanc performed by malcolm x
electric kingdom,twilight 22
mr. t&#39;s commandments,mr. t
escape,whodini
run-d.m.c.,run-d.m.c.
jam on it,newcleus
ego trip,kurtis blow
scratchin&#39;,malcolm mclaren
break dance party,break machine
we come to rock,imperial brothers
automan / where&#39;s the beat,newcleus
fat boys,fat boys
beat street,various artists
here comes that beat!,pumpkin & the profile all-stars
we&#39;re rocking the planet,hashim
request line / the roof is on fire (12 inch),rock master scott & the dynamic three
friends / five minutes of funk,whodini
breakin&#39; original motion picture soundtrack ,various artists
on the nile,the egyptian lover
rappin&#39; duke 12&quot;,rappin' duke
freaks come out at night,whodini
d&egrave;gout,the master scratch band
jam on revenge,newcleus
breakin&#39; 2 electric boogaloo,various artists
mr. t&#39;s commandment,mr. t
fresh,tyrone brunson
world destruction,time zone
ready for battle,the rock steady crew
jack it up,captain jack
"egypt, egypt",the egyptian lover
the dmx will rock,davy dmx
unity,afrika bambaataa & james brown
starchild,teena marie
can&#39;t afford,52nd street
hey d.j.,world's famous supreme team
greatest messages,grandmaster flash & the furious five
electro 3,herbie laidley & mastermind
"dial-a-freak  / yes, yes, yes",uncle jamm's army
what people do for money,divine sounds
can you feel it,fat boys
breakdance fever,various artists
frantic situation,afrika bambaataa & soulsonic force
surgery,world class wreckin' cru
hip hop the original and the best,various artists
essential electro - the business,various artists
step off,the furious five
electro 6,herbie laidley & mastermind
electro 5,dj maurice & dj noel
808 beats (eight hundred and eight beats),the unknown dj
jesse,grandmaster melle mel
electric breakdance,various artists
reckless / tebitan jam,various artists
i need a beat,ll cool j
street sounds uk electro,various artists
street symphony,rich cason and the galactic orchestra
she&#39;s fresh,the rock steady crew
uprock,the rock steady crew
breakdance,various artists
doriella du fontaine,jimi hendrix & lightnin' rod
siberian nights,twilight 22
grandmaster melle mel &amp; the furious five,grandmaster melle mel & the furious five
keep on tryin&#39;,sizzle
b boys breakdance,high fidelity three
our vision of a man,the playgirls
livin&#39; in the fast lane,sugarhill gang
breakloose (breakdancin&#39;),the younger generation
streetsounds electro 3,various artists
streetsounds electro 4,various artists
paname city rappin&#39;,dee nasty
cold cash $ money,"eddie ""d"""
breakdown new york style,"rusty p ""the toe jammer"" & sure shot 3"
rap 1,various artists
5 minutes,bonzo goes to washington
twilight 22,twilight 22
cosmic blast,captain rock
dynamic (total control),dynamic breakers
capt. rock to the future shock,captain rock
reckless / tibetan jam,"ice-t, the glove & dave storr"
einstein,the beat box boys
raiders of the lost groove,the empyre
don&#39;t let &#39;em drop the bomb,kold krew
beef box,m.c. cheif
boogie down (bronx),man parrish
radio,ll cool j
needle to the groove,mantronix
bassline,mantronix
fresh is the word,mantronix
the album,mantronix
"alice, i want you just for me!",full force
space is the place,newcleus
rock hard,beastie boys
the fat boys are back,fat boys
lessons 1 - 3,double dee & steinski
the roof is on fire (12&quot;),rock master scott & the dynamic three
beware (the funk is everywhere),afrika bambaataa
it&#39;s automatic / don&#39;t stop the rock,freestyle
they said it couldn&#39;t be done,grandmaster flash
dedication,the fearless four
u.t.f.o.,u.t.f.o.
america,kurtis blow
how could it be,eddie murphy
rock the bells,ll cool j
psk (what does it mean),schoolly d
king of rock,run-d.m.c.
the show,various artists
the dream team is in the house!,l.a. dream team
juice,world class wreckin' cru
b boys style,lil' jazzy jay & cool supreme
world class,world class wreckin' cru
round 1,roxanne shanté & sparky d
queen of rox (shant&eacute; rox on),roxanne shanté
confusion,aleem & leroy burgess
terminator,kid frost
naughty boy / whats your sign,uncle jamm's army
city life,the boogie boys
rapp will never die,mc shy d
krush groove,various artists
let&#39;s jam,the unknown dj
full force,full force
do you wanna get away,shannon
85 live,dr. dre
schoolly d,schoolly d
big mouth,whodini
we got to dance,super doeths
electro 10,herbie laidley & mastermind
electro 9,herbie laidley & mastermind
electro 8,herbie laidley & mastermind
electro 7,herbie laidley & mastermind
funk it up &#39;85,the sequence
axel f / like eddie did,club's rappers & det reirruc
super bowl shuffle,the chicago bears shufflin' crew
drum machine,mca & burzootie
tommy boy greatest beats,various artists
she&#39;s on it,beastie boys
girls love the way he spins,grandmaster flash
boogie down,man parrish
don&#39;t stop the rock,freestyle
she&#39;s a party girl,terrance tee
sun city,artists united against apartheid
street sounds electro 7,various artists
street sounds electro 8,various artists
street sounds electro 9,various artists
street sounds electro 6,various artists
rap 2,various artists
my hands are quicker than the eye,byron davis & the fresh krew
we can&#39;t be held back,the brothers supreme
nazi naz nakon &#1606;&#1575;&#1586;&#1740; &#1606;&#1575;&#1586; &#1606;&#1705;&#1606;,ebi ابی
life is a ghetto,dr. freshh
triple threat,z-3 mc's
you ain&#39;t fresh,the boogie boys
the battle,sparky d & the playgirls
licensed to ill,beastie boys
music madness,mantronix
planet rock: the album,afrika bambaataa & soulsonic force
kool moe dee,kool moe dee
back to the old school,just-ice
"oh, my god!",doug e. fresh & the get fresh crew
eric b. is president / my melody,eric b
holiday rap,mc miker g & dj sven
original ill,beastie boys
you be illin&#39;,run-d.m.c.
walk this way,run-d.m.c.
2 live is what we are,the 2 live crew
saturday night! - the album,schoolly d
enter planet dust,beastie boys
princess,princess
my adidas / peter piper,run-d.m.c.
"1986-04-19 the apollo, new york city, ny",run-d.m.c.
the source,grandmaster flash
paul revere,beastie boys
"hot, cool &amp; vicious",salt-n-pepa
trow the d. and ghetto bass,ghetto style
go see the doctor / monster crack,kool moe dee
fight for your right,beastie boys
raising hell,run-d.m.c.
flip-flop,audio two
licensed to ill (promo vinyl),beastie boys
celebration rap,mc miker g & dj sven
kingdom blow,kurtis blow
vicious rumors,club nouveau & timex social club
back in black,whodini
one track mind,the egyptian lover
on fire,stetsasonic
now that&#39;s what  i call music 8,various artists
winner in you,patti labelle
chasin a  dream,tashan
weightless,skinny boys
laff attack,various artists
rapped in romance,world class wreckin' cru
girls ain&rsquo;t nothing but trouble,dj jazzy jeff & the fresh prince
bellevue patient,funkmaster wizard wiz
something wild,various artists
bring the beat back,steady b
big &amp; beautiful,fat boys
it&#39;s my beat,jazzy joyce & sweet tee
we&#39;ll be right back,steinski
c&#39;mon every beatbox,big audio dynamite
medicine show,big audio dynamite
street sounds hip hop electro 12,various artists
just buggin&#39;,whistle
skeezer pleezer,u.t.f.o.
i can&#39;t wait (to rock the mike),spyder-d
juice,"oran ""juice"" jones"
cuts like these,dr. dre
goin&#39; off,dr. dre
go see the doctor,kool moe dee
"make the music with your mouth, biz",biz markie
to give you love / make you shake,ultramagnetic mc's
the last laugh,doggy style
mr. magic&rsquo;s rap attack volume 2,various artists
who the cap fits /mama used to say /billie jean,shinehead
black roses,inner circle
say what! (live in london),trouble funk
bambaataa&#39;s theme (assault on precinct 13) / tension,afrika bambaataa & family
stockholmsnatt,bezerk
good to go (short fuse) - original motion picture soundtrack,various artists
drag rap,the showboys
i ain&#39;t into that,the rappin' reverend
the word / sardines 12&quot;,the junkyard band
yo! bum rush the show,public enemy
criminal minded,boogie down productions
and the posse,n.w.a
beats + pieces,coldcut
paid in full,eric b. & rakim
rhyme pays,ice-t
bigger and deffer (bad),ll cool j
my posse,c.i.a.
pump up the volume,m|a|r|r|s
tackhead tape time,gary clail's tackhead sound system
the red tape,dj quik
move somethin&rsquo;,the 2 live crew
living large,heavy d & the boyz
get into it,big daddy kane
raw,big daddy kane
rock the house,dj jazzy jeff & the fresh prince
you&rsquo;re gonna get yours,public enemy
bring the noise,public enemy
the lesson,gang starr
we want some pussy,the 2 live crew
"raw, uncut, &amp; x-rated",too $hort
how ya like me now,kool moe dee
crushin&#39;,fat boys
the boyz-n-the hood,eazy-e
the godfather of rap,spoonie gee
born to mack,too $hort
kool &amp; deadly (justicizms),just-ice
down by law,mc shan
the best part of the fat boys,fat boys
feel my power,mc hammer
lyrical king (from the boogie down bronx),t la rock
"trouble over here, trouble over there",trouble funk
girlfriend,pebbles
less than zero,various artists
ba-dop-boom-bang,grandmaster flash
move the crowd,eric b. & rakim
&#39;86 in the mix!,dr. dre
throwdown,gregory d & mannie fresh
open sesame,whodini
"so def, so fresh, so stupid",gucci crew ii
the hits album 7,various artists
christmas rap,various artists
dana dane with fame,dana dane
love changes,kashif
i wanna dance 12&quot;,mc shy d
just give the d.j. a break,dynamix ii
memories of love,simply ii positive mc's
lethal,u.t.f.o.
rebel without a pause / bring the noise,public enemy
travelling at the speed of thought,ultramagnetic mc's
shopping,3 mustaphas 3
diamonds,herb alpert
davy&#39;s ride,davy d
hot rap,various artists
deep cut,melon
got to be tough,mc shy d
brooklyn sessions demos,beastie boys
what&#39;s my name,steady b
move: the rhythm kingdom,various artists
the adventures of schoolly d,schoolly d
just somethin to do,mc a.d.e.
i want her,keith sweat
phanjam,krown rulers & tuff crew
give it all you got (doggy style),afro-rican
criminal,dr. dre
panic zone,dr. dre
sing a song,mantronix
boogie on broadway - best of fourth and broadway volume one,various artists
greatest hits of the street (rappin&#39; and scratchin&#39;),various artists
planet jumper,franklin thompson
memory of a man and his music,krs-one & scott la rock
jealous fella&#39;s,dimples tee
naughty girls (need love too) / i surrender (to the spirit of the night),samantha fox
let&#39;s get it started,mc hammer
cru&#39; in action!,c.i.a.
street sounds hip hop 17,mixmaster tee
players,too $hort
christmas in hollis,run-d.m.c.
heroes,faze one
head to toe,lisa lisa & cult jam
parkside 5-2,schoolly d
hairdooz bw crack killed applejack,general kane
wide open,general kane
hit mix,various artists
nobody beats the biz,biz markie
the best of the world class wreckin&#39;,world class wreckin' cru
you&#39;re gonna get yours,public enemy
no 1/2 steppin&#39;,shanice wilson
1987 (what the fuck is going on?),the justified ancients of mu mu
tramp (remix) / push it,salt-n-pepa
4 -when the world was young-,real fish
the beat kicks,t la rock
you ain&#39;t nothing / i run this,geto boys
car freak,geto boys
club 45 (keeps you movin&#39;),various artists
it takes a nation of millions to hold us back,public enemy
the great adventures of slick rick,slick rick
straight out the jungle,jungle brothers
by all means necessary,boogie down productions
strictly business,epmd
power,ice-t
follow the leader,eric b. & rakim
straight outta compton,n.w.a
troopers,cold crush brothers
jenifa (taught me)- potholes on my lawn,de la soul
critical beatdown,ultramagnetic mc's
strictly business,epmd
you gots to chill,epmd
goin&#39; off,biz markie
2 hype,kid 'n' play
"in control, volume 1",marley marl
the light,afrika bambaataa & family
eazy-duz-it,eazy-e
who?,tony! toni! toné!
act a fool,king tee
let&#39;s get it started,mc hammer
ease back / kool keith housing things,ultramagnetic mc's
smoke some kill,schoolly d
ain&#39;t no half steppin&#39;/get int,big daddy kane
long live the kane,big daddy kane
paper chase,the krown rulers
to the batmobile let&#39;s go,the todd terry project
supersonic/freak city,j.b. beat & j.j. fad
swass,sir mix-a-lot
harder than you,24-7 spyz
"he&#39;s the dj, i&#39;m the rapper",dj jazzy jeff & the fresh prince
ain&#39;t no half steppin&#39;,big daddy kane
i&#39;ll take you there,big daddy kane
set it off,big daddy kane
in full gear,stetsasonic
life is...too short,too $hort
banned ep,ugk
tougher than leather,run-d.m.c.
night of the living baseheads,public enemy
straight from the basement of kooley high!,original concept
running thangs,busy bee
it takes two,rob base & dj e-z rock
spike lee&#39;s school daze,various artists
lyte as a rock,mc lyte
grab it!,l'trimm
supersonic,j.j. fad
making trouble,geto boys
man &amp; his music,boogie down productions
blowfly for president,blowfly
"mary, mary",run-d.m.c.
the world&#39;s greatest entertainer,doug e. fresh & the get fresh crew
raggamuffin hip hop,asher d & daddy freddy
def before dishonor,beastie boys
chubb rock,chubb rock
danger zone,tuff crew
girls i got &#39;em locked,super lover cee & casanova rud
wild thing,tone-lōc
it takes two/ get on the dancefloor,rob base & dj e-z rock
push it,salt-n-pepa
don&#39;t rock the boat,midnight star
megablast / don&#39;t make me wait,bomb the bass
megablast rap,bomb the bass
"beats, breaks &amp; scratches volume 2",simon harris
"beats, breaks &amp; scratches volume 1",simon harris
talkin&#39; all that jazz,stetsasonic
what more can i say?,audio two
in full effect,mantronix
heat it up,the wee papa girl rappers
unity,shinehead
guy,guy
time machine,silicon dream
where&#39;s the party at?,cash money & marvelous
eden alley,timbuk 3
back by popular demand,kurtis blow
because i got it like that,jungle brothers
buffalo stance,neneh cherry
tuffest man alive,fila fresh crew
just got paid,johnny kemp
sgt. pepper knew my father,various artists
original stylin&#39;,three times dope
colors,various artists
what time is it? it&#39;s gucci time,gucci crew ii
good groove,derek b
dynamite,masters of ceremony
the beatnigs,the beatnigs
i ain&#39;t trippin,too $hort
coming back hard again,fat boys
i wanna have some fun,samantha fox
old night at studio 54,various artists
don&#39;t scandalize mine b/w ready to penetrate,sugar bear
let the hustlers play,steady b
the payback mix part one,james brown
rhyme syndicate comin&#39; through,various artists
rok da house,the beatmasters
it takes two,rob base & dj e-z rock
dj&#39;s and mc&#39;s / supercuts (yeah boy),rodney o & joe cooley
going back to cali,ll cool j
"the beat, the rhyme, the noise",the wee papa girl rappers
give it all to me,fresh celeste
on the strength,grandmaster flash & the furious five
a salt with a deadly pepa,salt-n-pepa
don&#39;t believe the hype,public enemy
hard as hell - the best of hardcore rap,various artists
"maxi power, volume 1",various artists
friends and countrymen,the wild bunch
tall dark &amp; handsome,tall dark & handsome
paul&#39;s boutique demos,beastie boys
die hard,michael kamen performed by hollywood studio symphony under michael kamen
doin&#39; damage,jvc force
skinny (they can&#39;t get enough),skinny boys
deffest! and baddest!,ultrafly and the hometown girls & wendy o. williams
pure righteousness,lakim shabazz
let&#39;s play it cool,mass media & steinski
filthy,the egyptian lover
born to be wild,mc shan
jack of spades / i&#39;m still #1,boogie down productions
i got a good thang / urban sound surgeon,4-ever fresh
hold no hostage / doomsday of rap,hijack
the twist,fat boys
the r,eric b. & rakim
da butt 12&quot; single mixes,e.u.
the vigilante,raheem
den nye stil,mc einar
comin&#39; correct in 88,mc shy d
my dj (pump it up some),richie rich
other 99,big audio dynamite
street sounds hip hop 20,various artists
soulmate,wee papa girl rappers
run&#39;s house,run-d.m.c.
mega-mix,herbie hancock
i can do this,monie love
shake it (remix),mc shy d
coolin&#39; in cali,the 7a3
follow the leader,eric b. & rakim
ragamuffin hip-hop,asher d & daddy freddy
bad young brother,derek b
the first priority music family:basement flavor,various artists
top billin,audio two
x-men,dj slip & the unknown dj
i&rsquo;m your pusher,ice-t
parents just don&#39;t understand,dj jazzy jeff & the fresh prince
don&#39;t be cruel,bobby brown
rock this planet,bass patrol
in effect,dr. dre
u got ganked,dr. dre
88 boom n bass,dr. dre
our time has come!,numarx
the enjoy! story: rap&#39;s greatest hits from the birth of the zulu nation,various artists
hot mix 1,bad boy bill
it&#39;s tee time,sweet tee
the hits of house are here,various artists
supersonic,j.j. fad
"mary, mary (oh mary please!)",run-d.m.c.
41fivin,415
escape from new york,nasty rox inc.
loc&#39;ed after dark / wild thing,tone-lōc
killing me softly,al b. sure!
the b-boy sampler,various artists
today,today
shake your thang / spinderella&#39;s not a fella,salt-n-pepa
i need you,b.v.s.m.p.
this is sparky-d&#39;s world,sparky d
soul sisters,finesse & synquis
young gifted and black,don baron
bullet from a gun,derek b
sleeping bag&#39;s greatest mixers iii,various artists
wee rule,the wee papa girl rappers
kisses on the wind,neneh cherry
dance &#39;88 volume 1,various artists
dance &#39;88 volume 2,various artists
jovanotti for president,jovanotti
a nightmare on my street,dj jazzy jeff & the fresh prince
respect,the real roxanne
i got it goin&#39; on,tone-lōc
teenage love,slick rick
serious slammin&#39;,the pointer sisters
uh oh,royal flush
i pioneered this,mc shan
mercedes boy,pebbles
cars with the boom,l'trimm
plug tunin&#39; / freedom of speak,de la soul
na touch da just,just-ice
girl you know it&#39;s true,milli vanilli
express yourself,n.w.a
if it isn&#39;t love,new edition
now rap&#39;s what i call music!,various artists
out to lunch with ahead of our time,various artists
how low can you go,dj kool
hip hop and house beats - jingles specially for d.j&#39;s vol. 9,rocky graziano & tony acardi
street sounds hip hop 20,various artists
street sounds hip hop 21,various artists
street sounds hip hop 22,various artists
winter warnerland,various artists
krush on you,fat boys
maxi summer hits,various artists
mixx it 22,cameron paul
girl don&#39;t cry,cosmic jam
i&#39;m your playmate,suavé
pump up the volume - best of fourth and broadway volume two,various artists
the real roxanne,the real roxanne
funkytown iii,various artists
soulbeat 3,various artists
soulbeat 4,various artists
nuclear war,brian ritchie
baddest beats around / filthy,the egyptian lover
shake the joint,breezy beat mc
be down,geto boys
around the bay,authorized personel
culture shock,early d
precision - hardcore,kc & shiek
the biz never sleeps,biz markie
unfinished business,epmd
the best of enjoy! records,various artists
dj magic mike and the royal posse,dj magic mike & the royal posse
youngest in charge,special ed
no more mr. nice guy,gang starr
stone cold rhymin&#39;,young mc
paul&#39;s boutique,beastie boys
a shade of red,redhead kingpin and the f.b.i.
the devil made me do it,paris
it&#39;s a big daddy thing,big daddy kane
walking with a panther,ll cool j
the cactus album,3rd bass
pump up the jam,technotronic
the magic number/buddy,de la soul
bust a move,young mc
road to the riches,kool g rap & dj polo
done by the forces of nature,jungle brothers
l&#333;c-ed after dark,tone-lōc
say no go,de la soul
no one can do it better,the d.o.c.
black cat,janet jackson
keep on movin&#39;,soul ii soul
3 feet high and rising,de la soul
raw like sushi,neneh cherry
as nasty as they wanna be,the 2 live crew
the iceberg:  freedom of speech... just watch what you say,ice-t
music to be murdered by,dan the automator
word power,divine styler
2-4-the bass,def dames
&quot;d&quot; rules the nation,gregory d & mannie fresh
it&#39;s funky enough,the d.o.c.
mental floss for the globe,urban dance squad
me and joe,rodney o & joe cooley
smooth operator,big daddy kane
doowutchyalike,digital underground
on and on,fat boys
positivity,gang starr
fight the power,public enemy
words i manifest,gang starr
manifest,gang starr
here&#39;s the proof,gang starr
drop that bottom,l'trimm
brother arab,arabian prince
brand nubian,brand nubian
la mia moto,jovanotti
the gas face,3rd bass
hell with the lid off,mc 900 ft. jesus
eyes on this,mc lyte
ghetto music: the blueprint of hip hop,boogie down productions
demo,simply ii positive mc's
all hail the queen,queen latifah
michel&#39;le,michel'le
knowledge is king,kool moe dee
nice &amp; smooth,nice & smooth
freddie foxxx is here,freddie foxxx
truth is out of style,mc 900 ft. jesus
standing in the spotlight,dee dee king
symphony in effect,maestro fresh-wes
controversy,willie d
welcome to the terrordome,public enemy
grip it! on that other level,geto boys
dc talk,dc talk
old and new jams,spoonie gee
and in this corner...,dj jazzy jeff & the fresh prince
how much can you take,mc a.d.e.
crazy noise,stezo
love will never do (without you),janet jackson
boomin words from hell,esham
don&#39;t do it,richie rich
just keep rockin&#39;,double trouble & rebel mc
got to have your love,mantronix
back to life (however do you want me),soul ii soul
the badman is robbin&#39;,hijack
give the drummer some,ultramagnetic mc's
born this way (let&rsquo;s dance),cookie crew
come on &amp; get some,cookie crew
got to keep on,cookie crew
eye know,de la soul
move your body,tyree
ho&#263;emo gusle!,rambo amadeus
back to wreck shop,tuff crew
ghostbusters,run-d.m.c.
ride the rhythm,chill rob g
tyrees got a brand new house!,tyree
seminar,sir mix-a-lot
terminal city ricochet,various artists
the kingpin,craig g
demos and outtakes,beastie boys
white lines (don&#39;t do it) (ben liebrand freestyle remix),grandmaster flash & melle mel
do what you want / take me away,2 in a room
respect,adeva
dance classics - the remixes volume 2,various artists
the bass that ate miami,various artists
paul&#39;s boutique instrumentals,beastie boys
the young son of no one,breeze
am i black enough for you?,schoolly d
bass!,simon harris
born this way,cookie crew
escape from havana,mellow man ace
we&#39;re in this together,low profile
get a life,soul ii soul
love american style ep,beastie boys
nothing matters without love,seduction
big tyme,heavy d & the boyz
the incredible base,rob base
children&#39;s story,slick rick
alright,janet jackson
freedom express,the last poets
your mom&#39;s in my business,k-solo
sleep talk,alyson williams
she&#39;s got a big posse,arabian prince
dope on plastic,uptown
a bit of..,kiss amc
real love,jody watley
just a poet with soul,def jef
the boy genius,kwamé
everybody wants some,gucci crew ii
the humpty dance,digital underground
raw,alyson williams
the desolate one,just-ice
your slippin,the dream team
do the right thing,various artists
something to get you hyped,young & restless
yo! mtv raps: the cd,various artists
jockin&#39; robin,dj man & le juan love
funky cold medina,tone-lōc
j-boys,the jamaica boys
"what is it, yo?!",unity 2
20 seconds to comply,silver bullet
wrecks-n-effect,wreckx-n-effect
me myself and i,de la soul
"mr. magic&#39;s rap attack, volume 5",various artists
we want eazy (remix),eazy-e
let it be known,spice 1
twin hype,twin hype
black to the future,def jef
deeper shade of soul,urban dance squad
the d.o.c. &amp; the doctor,the d.o.c.
it&#39;s on you,real mccoy
bad sister,roxanne shanté
live on stage,roxanne shanté
recognition,demon boyz
don&#39;t push it,ruth joy
street tuff,double trouble & rebel mc
bring forth the guillotine (the ben chapman mixes),silver bullet
"an exciting evening at home with shadrach, meshach and abednego",beastie boys
do the right thing,redhead kingpin and the f.b.i.
rap attak: 16 slices of seriously solid sounds,various artists
(you&#39;re my one and only) true love,seduction
rapper&#39;s delight,sugarhill gang
a blitz of salt-n-pepa hits: the hits remixed,salt-n-pepa
black steel in the hour of chaos,public enemy
silent assassin,sly & robbie
on our own,bobby brown
cold chillin&#39; in the studio live,jazzy jay
xl,king sun
the formula,the d.o.c.
coldcut&#39;s christmas break,coldcut
c ya,ron c
pure dynamite / axe-maniac,unique
p&auml;&auml;kk&ouml;set,pääkköset
my love is so raw,alyson williams
heed the word of the brother / raise the flag,x-clan
we got our own thang,heavy d & the boyz
large and in charge,chunky a
arh d&eacute;r!,mc einar
you can&#39;t hold me back,awesome dre' and the hard core committee
and the winner is...,chubb rock
&pound;10 to get in (remix),shut up and dance
manchild,neneh cherry
who&#39;s in the house,the beatmasters
that&#39;s how i&#39;m living / the chief,tony scott
turn it out (go base),rob base
description of a fool,a tribe called quest
together / letter to the better,ace & action
miki howard,miki howard
pergunte a quem conhece,dj hum & thaíde
flame,flame
loud and clear,the fly girls
get into it,tony scott
stop the world,"black, rock & ron"
clean and sober 12&#39;,m.c. outloud
diamonds in the raw,the s.o.s. band
i gotta habit,cool c
fight for your right,beastie boys
independent leaders,the new style
"it isn&#39;t, it wasn&#39;t, it ain&#39;t never gonna be",aretha franklin & whitney houston
doin&rsquo; it!,u.t.f.o.
funkymix 1,various artists
funkymix 2,various artists
funkymix 3,various artists
spring again,biz markie
pump it hottie,redhead kingpin and the f.b.i.
break the grip of shame,paris
principal&#39;s office,young mc
self destruction,the stop the violence movement
rappin&#39; madrid,various artists
drumdrops vol. 1 (essential break beats &amp; loops),frankie bones & lenny dee
why is that?,boogie down productions
who&#39;s the boss,antoinette
word to the jaz,the jaz
demo tape,cypress hill
jam,dr. dre
professor x (saga),professor x
may we introduce (me so horny),the 2 live crew
mess/age,seiko ito (いとうせいこう)
put your hands together,d mob
funky dividends,three times dope
going steady,steady b
juicy,wreckx-n-effect
do your dance (work it out),silk tymes leather
mother goose,andrew dice clay
joy and pain (remix),rob base & dj e-z rock
comin&#39; thru like warriors,mc twist & the def squad
i can make you dance,richie rich
won&#39;t talk about it / blame it on the bassline,norman cook
for spacious lies,norman cook
madrid hip-hop,various artists
i can do that / let it go,afro-rican
def jam classics - volume i,various artists
segundo asalto,def con dos
deep heat &#39;89 - fight the flame,various artists
black to the future,unique and dashan
organised rhyme,mc duke
the mic stalker,doctor ice
rapmasters 9: the best of hardcore,various artists
coming out large,a.k.a. brothers
we want some pussy / miami bass,blow that bass and pump that whistle & the 2 live crew
hooked,vanilla ice
slang teacher,kings of pressure
into the future,mc rell & the houserockers
positively black,positively black
masters of the rhythm,dj chuck chillout & kool chip
diva,ms. melodie
in flightt,kc flightt
i wanna be rich,calloway
going steady,steady b
glamorous life,cool c
puss n&rsquo; boots / these boots are made for walkin&rsquo;,kon kan
hotsound megamix vol. 3,various artists
the best of italo dance vol. 14,various artists
the greatest hits,various artists
ragga hip hop volume 1,various artists
tbm mix 3,sample syndicate
for those who like to groove / do it to the crowd,twin hype
rap traxx,various artists
rap traxx 2,various artists
house attack,mirage
a shade of red,redhead kingpin & the fbi
k-9 posse,k-9 posse
tanzbar vol. 2,various artists
march 89 - mixes 2,various artists
juice crew law / they used to do it in the park,mc shan
expression / clubhouse,salt-n-pepa
twenty pounds to get in,shut up and dance
something to dance to,white boy mike & d.j. the boy
no prisoners,jesse west
it&#39;s no crime,babyface
project x,x possee
i&#39;m that type of guy,ll cool j
