count(*),artist
5,99 posse
1,99%
1,990x
1,995
1,999
1,9dm & lawz spoken
1,9ice
2,9milimetros
1,9planets
5,9th prince
1,9th uno
18,9th wonder
3,9th wonder & buckshot
1,9th wonder & david banner
1,9th wonder & kaze
7,9th wonder & murs
1,9th wonder & pete rock
1,9th wonder & skyzoo
2,9th wonder & spectac
1,9th wonder & talib kweli
1,9th wonder & wale
3,9thcloud
1,:brownstudy
1,?uestlove
2,@junkmail
3,@peace
1,[ s e n s o ]
1,[.phelix]
1,[beatmasta.oknd]
1,[cr.uz] & kahawai loaf
1,[drwn.entact]
1,[ksg]
1,[ksg] & drwn.
1,[loveandbalance]
13,[offbeatninja]
5,[redacted]
2,[samwise]
1,[slr] & cloudy.
1,\/oss
1,^hevl
1,_____face
5,_danieru
1,_whtspce
1,_zoot.
1,a band of buriers
1,a better tomorrow
1,a boogie wit da hoodie
2,a broken silence
1,a brother scratch
1,a damned revolution
1,a few good men
1,a good one
1,a great big world
1,a gun called tension
1,a history of violence
3,a june & j beat
1,a l l i e
1,a la fu
1,a little rooster
1,a lost people
2,a merican girlfriend
1,a new beginning & kwamé
1,a plus tha kid & shady nate
3,a problem like maria
2,a quest
1,a r c a d i
2,a red cat in the doghouse
1,a s v h i
4,a sol mechanic
45,a tribe called quest
1,a tribe called quest & consequence
1,a tribe called quest & erykah badu
1,a tribe called quest & the pharcyde
4,a tribe called red
1,a tribe called red & das racist
4,a z e
1,a$ap ant & a$ap rocky
16,a$ap ferg
6,a$ap mob
33,a$ap rocky
1,a$ap rocky & troyboi
2,a$ap ty beats
2,a$ton matthews
1,a$tral
1,a'daleis
1,a'me lorain
3,a+
6,a-1
3,a-alikes
5,a-class
1,a-d
1,a-dam-shame
1,a-dub
7,a-f-r-o
1,a-fos
1,a-g-2-a-ke
1,a-lee
1,a-lex ram
1,a-love
1,a-maz-on
3,a-merk
2,a-plus
1,a-plus & aagee
2,a-plus & compound 7
1,a-rif
1,a-ron
2,a-rühm
3,a-team
18,a-trak
1,a-trak & cam'ron
1,a-trak & dillon francis
2,a-trak & dj qbert
1,a-trak & glc
1,a-trak & kanye west
1,a-trak & the rub
1,a-villa
2,a-wa
5,a-wax
1,a-wax & gonzoe
1,a. charles
1,a. g. cook & lil gash
1,a. luoti
1,a. s
1,a.b.n. renegadez & trae tha truth
4,a.bee
1,a.c. smooth
3,a.chal
1,a.d.a.y
1,a.d.d.
7,a.d.o.r.
6,a.dd+
1,a.f.q.b
4,a.g.
1,a.g. & koss
1,a.g. & o.c.
4,a.g. & ray west
2,a.geh wirklich?
1,a.j. brione
1,a.j. 盗品
4,a.j.k.s.
1,a.k
2,a.k.-s.w.i.f.t.
2,a.k.a. brothers
1,a.kor black (에이코어 블랙)
1,a.l.
1,a.l. laureate
1,a.l.g.
1,a.l.t.
2,a.l.t. & the lost civilization
3,a.m. architect
1,a.m. dre'
2,a.m.o.
1,a.m.s crew
1,a.m.w.
1,a.o.c
1,a.o.n.c.
1,a.p.s.d.
1,a.r.m.
1,a.r.t. & freez
1,a.r.t. & rico
1,a.r.t. & sticks
1,a.s.m
1,a.s.p.
1,a.saxon
3,a.skillz
2,a.skillz & beatvandals
3,a.skillz & krafty kuts
1,a.skillz & nick thayer
1,a.v. kids
1,a.v. mitchell
1,a.v.i.u.s. & agflux
1,a.y.b. force
1,a.y.d.
3,a.y.e.
2,a1mill3r
2,a2
10,a2h
1,a2h & aelpeacha
1,a2h & xanax
1,a2velas
1,a3bandas
1,a3l
6,a_rival
1,aa.kurtz
12,aaliyah
1,aaliyah & dām-funk
1,aalo guha
2,aalon$e
1,aalon$e & δktr
2,aamir
1,aardvarck
1,aardvark
2,aarodynamics
1,aaron
1,aaron choulai
3,aaron cohen
1,aaron del valle
1,aaron evans & illogic
2,aaron evo
1,aaron explicable
2,aaron hall
2,aaron lacrate
1,aaron lacrate & amanda blank
1,aaron lacrate & low budget
1,aaron smith
3,aaronmaxwell
1,aaronmaxwell & james matthew
1,aarophat
1,aarón baliti & dj volo
1,aasen
2,aasim
1,ab cephei
1,ab devinci
9,ab-soul
1,ab-soul & jay rock
1,ab-soul & jmsn
2,abakus
1,abakus & aokid
1,abbott & brown
5,abbrev
5,abd al malik
1,abdel gadir salim & emmanuel jal
1,abdelalien
4,abdominal
1,abdominal & dj fase
1,abdominal & the obliques
2,abdu ali
1,abe 2 lshefa
1,abeamoflight
3,abel
1,abel okugawa
3,abelest
1,abentis
1,abgohard
2,abhi the nomad
1,abhi//dijon
1,abidaz
1,abidaz & cherrie
1,abide.n
1,abigoba
17,abjo
1,able.p
3,able8
1,abluka alarm
1,abluskittle
1,abmanrah
2,abn
1,abn renegadez & trae tha truth
2,abnormal sleepz
2,abnorml injustice
1,aboli$h
2,aboriginals
1,aborted jesus milkshake
11,above the law
2,above this
3,abra
2,abraham
1,abraham inc.
1,abram
1,abram wilson
1,abraxxxas
2,abrii
1,abrii & hiragii
1,abroo
1,abs
5,abscondence
1,abscxndence
1,absent
3,absent minded
1,absentavery
7,absolute beginner
1,absolute value
1,absolute zero
1,absolutemadman
1,absoulut karnage
2,absrdst
1,absrdst & diveo
3,abstrackt keal agram
1,abstract
1,abstract collective
1,abstract giants
1,abstract mindstate the m.o.d.
8,abstract rude
1,abstract rude & musab
1,abstract rude & taktloss
4,abstract rude & tribe unique
3,abstract tribe unique
1,abstractomator
1,abstrakt idea
1,abstrakt mind
1,abstraktaudio
1,abstrct
1,absztrakkt
1,absztrakkt & cr7z
1,absztrakkt & snowgoons
1,abu
1,abudtone
3,abyss
1,abyssinian creole
1,abzorbr
1,ac & dell
1,ac slater & mumdance
1,ac slater & o8o
2,ac splyt
1,ac3
1,ac3po & panoptik
1,ac3po & vojko vrućina
1,acarine
1,acatcalledfritz & audessey
3,acaz
1,accardo & konvulse
2,access immortal
1,acción sánchez
1,acción sánchez & hazhe
2,accrophone
3,ace
1,ace & action
1,ace & pearl
1,ace clark
1,ace def & wolvepop
3,ace deuce
17,ace hood
1,ace rozay
1,aced spade
14,aceyalone
2,aceyalone & rjd2
1,achilles
1,achim funk & mr.nylson
1,achmix
2,achozen
11,achromatic residue
3,achromatik
1,achromatik & childish gambino
1,achromatik & matthew beyer
1,achromatik & que theory
4,achtvier
1,achtvier & said
6,acid reign
1,acid reign & gebo
1,acid reign & neila
1,acide sulfurique
1,ackronem
9,ackryte
1,ackryte & prof.logic
1,ackumen
4,acoosmik
1,acousticriffer
1,acqua toffana
1,acre & cosmic revenge
1,acrid lemon
3,acro jazz laboratories
1,acsi & gwandxya.
25,action bronson
2,action bronson & riff raff
1,action bronson & roc marciano
1,action bronson & statik selektah
1,action davis
1,action pac
1,actitud maría marta
1,active & nahquon
10,active member
1,active member & sadahzinia
1,actors and poets
1,actress
1,acts 29
2,actual proof
1,actual proof & big remo
2,ad
2,ad bourke
1,ad litteram
5,adagio!
1,adalwolf
1,adam and cuth
1,adam bailie
1,adam f
1,adam koots
1,adam purski
1,adam santoya
1,adam strange & granola funk express
4,adam tensta
1,adam warlock
4,adam warrock
1,adam.f
3,adamn killa
1,adamn killa & dp beats
1,adamski
1,adara & k theory
1,add-2
1,add-2 & khrysis
1,addi blanco
3,addis black widow
1,addmo
1,addverse effects
1,addy van der zwan & koen groeneveld
1,ade
1,adebizi & pikkupiru
3,adeem
2,adeem & shalem
1,adeja benz
1,adelzking
3,ademus
1,ades
1,adeva
1,adfu
1,adhd
3,adi dick
2,adi l hasla
1,adi l hasla & heinis
1,adi nowak
3,adina howard
1,adjaman
3,adje
1,adjágas
1,adk crew
7,adlib
1,adlib & freedom 30
2,adlib swayze
1,adlm
1,adln & awon
1,admiral dawg
1,admiral p
1,ado kojo
1,adoc
1,adolf noise & dj koze
1,adonis & mike beatz
1,adonis star
1,"adore, 1996"
2,adp
1,adpq
1,adrenokrome
1,adrian aardvark
1,adrian be
1,adrian champion
2,adrian lau
1,adrian lau & harry fraud
2,adrian marcel
1,adrian marcel & lvlss
2,adrian younge
1,adrian younge & ali shaheed muhammad
2,adrian younge & souls of mischief
1,adrian younge performed by venice dawn
1,adrien zatylny
3,advance patrol
3,advanced chemistry
1,advanced placement
3,adventure time
1,advntr
1,adán cruz
1,adès
3,aeed
9,aelpeacha
1,aelpeacha & msj
1,aelpeacha & richard segal huredia
1,aeon
1,aeon & von pea
2,aeon grey
1,aeon grey & bashir
1,aeon grey & sabicas
10,aer
1,aerial wipe
2,aero chord
1,aero chord & klaypex
1,aero chord & razihel
1,aero-k
4,aesop
2,aesop & dj hecktik
31,aesop rock
1,aesop rock & el-p
1,aesop rock & figure
1,aesop rock & headphone science
3,aesop rock & homeboy sandman
1,aesop waits
2,aether
5,afasi & filthy
1,affsid kidjhagiffy
1,afghan jesus
1,afghan raiders
1,afiara quartet & skratch bastid
1,afiliashun
1,afin
1,aflo
1,aflocentric
1,afo & sagace
1,aforic
1,afra
1,afra & incredible beatbox band
1,africa unite
1,african-american zombie lawyer
1,afrika baby bam & neneh cherry
9,afrika bambaataa
4,afrika bambaataa & family
1,afrika bambaataa & james brown
1,afrika bambaataa & man parrish
10,afrika bambaataa & soulsonic force
4,afrika bambaataa & time zone
1,afrikan boy
1,afro
1,afro classics
1,afro cluster
1,afro jazz
1,afro q ben
2,afro-plane
2,afro-rican
6,afrob
1,afrob & samy deluxe
1,afrobeta
2,afrodisiac soundsystem
2,afrojack
16,afroman
1,afryqah records
5,afta-1
1,afta-1 & nikko gray
1,after 7
5,after hours
1,after the smoke
1,afternoon wasted
1,aftershock
5,afu-ra
1,afuc chan (阿佛) & day tai (戴偉)
1,ag cubano
2,ag da coroner
1,ag the kid
1,aga b
5,agallah
1,agallah & the alchemist
1,agallah the don & dirtydiggz
2,agartha audio
1,age-m
1,ageless
1,agent 23
1,agent 23 & granola funk express
1,agent orange
3,agents of change
1,agentstriknine & white mic
2,agerman
1,agerman & keak da sneak
1,ages
1,agg
1,aggravated
1,aggravated assault
1,ago
1,agonylife & z-ro
1,agostino scafidi
1,agq
1,agression verbale
1,agrip nassim
1,agust d
1,agustus thelefant & big koont
1,ahh ooh
1,ahkatari
4,ahmad
1,ahmed sirour
4,ahmir
3,ahnnu
1,ahnom
1,ahoribuzz
7,ahwlee
1,ahwlee & mndsgn
3,ahzumjot
7,ai
1,aiello wilson
1,aiello wilson & north bronx alliance
2,ailu valle
1,ailurus & autumn nights
12,aim
1,aim & qnc
1,aimnhervs
1,aimo brookmann
1,ain't no love
1,air
2,air 2 a bird
1,air drops
5,air dubai
1,air france
1,air morden klikk
4,air tycoon
1,airbird & napolian
3,airborn audio
1,airborn gav
1,airhythmatic
1,airklipz
1,airliner
8,airlocke
1,airplane radio
1,airwav & digital ethos
1,airwolf
6,airøspace
1,aisti & emeto
2,aivovuoto
1,aivovuoto & khid
1,aj biggs
2,aj suede
1,aj tracey
1,aja west & cheeba
1,ajebutter22
5,ajmw
1,ajron & małolat
4,ajs nigrutin
1,ajs nigrutin & bvana
2,ak
1,ak ausserkontrolle
2,ak skills
4,ak-47
1,ak-69
1,ak.ademiker
3,ak26
1,ak420
1,ak:hash
1,aka moon & dj grazzoppa's dj bigband
1,akademic & donny spade
1,akademiks
11,akala
1,akala & blackmill
1,akala & ms. dynamite
1,akam
1,akasha & jzamo
3,akashik ancestorz
1,akbar
1,akd & deepstar
1,akeda
1,akee fontane
3,akeedro
1,akeedro & lowranger
1,akeedro & ohbliv
3,akello light
1,aketo
15,akhenaton
1,akhenaton & bruno coulais
1,akhenaton & dj pone
1,akhenaton & faf larage
1,akhenaton & passi
2,aki
1,aki la machine
1,akin yai
1,akinobu
5,akinyele
1,akinyele & az
5,akir
2,akira gautama
8,akira the don
1,akira the don & radioactive man
1,akitak uzu of khyng-jayden productions
2,akkezdet phiai
1,akko gorilla (あっこゴリラ)
1,aklo
3,ako
1,akoko
23,akon
1,akon & sean biggs
3,akouo
1,akoza
1,akrasis
4,akro
7,akrobatik
1,akroyd smart
1,akshin alizadeh
1,aksim
5,aksua
1,akte one
1,aktivist
1,aktu el shabazz
2,aku
1,aku & ginuwine
1,aku & mouse on the keys
5,akua naru
1,akua naru & the digflo band
1,akuma & factor
1,akwasi
1,akwid
1,al
1,al & huge l
1,al agami
2,al b. sure!
1,al coholic & vlad zhukov
2,al dali
2,al dobson jr.
1,al fatz & chip tha ripper
6,al kapone
2,al kapone & mr. sche
1,al kaporn
9,al lover
1,al milano
2,al patron
1,al peco
1,al quetz
1,al ripken jr. & lunice
3,al rocco
2,al' tariq
6,al'tarba
1,al'tarba & lord lhus
2,al-d
1,al-doe
2,al-gear
1,al-one & onlyone
1,al2 el aldeano
9,alaclair ensemble
1,alais clay
2,alamaa
1,alamo roger$
1,alan brymer
1,alan evans
1,alan ritchson
1,alan_wattage
1,alaska boi
1,alaska thunderfuck
2,alaskan fishermen
1,alaskan other
2,albacore
2,albee yap
2,albert parisien
1,alberto gambino
1,albin
1,albin gromer
1,albino
1,alcatraz
1,alchemist
1,alchemist & mobb deep
1,alchemists of sound
1,alchinbond
2,alcyon massive
1,aldo
1,aldo ciccolini
1,aldon
1,alec
1,alec demore
1,alec empire & el-p
3,alecs delarge
1,aleem & leroy burgess
2,aleister x
2,alejuandro buendija
1,alekesam
1,aleks
2,aleksey
3,aleon craft
1,aleos
1,aleph
1,alesia
2,alessia cara
1,alex aff
1,alex attias
3,alex b
1,alex brans
1,alex farnham & nice peter
1,alex gifford
1,alex heduvan
1,alex jones
1,alex jordan
1,alex kresovich
1,alex newell
1,alex osiris
1,alex salveson
6,alex wiley
1,alex wiley & kembe x
1,alexalfons
2,alexander
1,alexander bolsunovskiy
1,alexander jung
1,alexander king
1,alexander lewis
1,alexander lewis & dabow
1,alexander lewis & tails.
1,alexander nut
2,alexander o'neal
12,alexander spit
1,alexander the phatos
1,alexander vogel & dave williams
1,alexandra blakely
1,alexandra(h)
1,alexandre francisco diaphra
1,alexandria
2,alexipharmic
4,alexis & fido
1,alexis aayana
2,alexis weak
1,alexnderluna & disfnk
2,alf alpha
1,alfa mist
1,alfa neu
2,alfred howard & the k23 orchestra
1,alfred howard & travis daudert
2,algernoncornelius
1,algodão
2,algorhythms
3,algorithm
1,algorythm & substantial
1,algorythmik
5,ali
1,ali & gipp
1,ali & mode
3,ali a$
3,ali as
4,ali b
1,ali b & marco borsato
2,ali bumaye
1,ali d
1,ali dahesh music
1,ali dee and the deekompressors
2,ali en
1,ali g & shaggy
1,ali shaheed muhammad
1,ali shaheed muhammad & souls of mischief
1,ali the prodigy
2,ali the son of abdul
1,ali vegas
1,ali'n & cesko
14,alias
1,alias & ehren
3,alias & tarsier
1,alias band
1,alias effect
1,alias g
5,alibi montana
1,alibi montana & lim
1,"alibi montana,kheimer et zone"
1,alice division
8,alicia keys
1,alicia keys & dj fatal
1,alien army
1,alien baby
1,alien brain food
1,alien crème & noguano
1,alien kids
1,alien nation
1,alien nation & phoenix orion
1,alien ultra
1,alignment
1,alika
1,alika y nueva alianza
1,alim kamara
1,alina
1,alinah sipps
1,aliocha kalawax
1,alison carney
1,alison crockett
2,alison wonderland
1,alive
1,alive!
1,alix
1,alix perez
1,aliyah b & kharisma
2,alizzz
3,alkpote
1,alkpote & butter bullets
1,alkpote & dj weedim
1,all caps
5,all city
1,all city productions
4,all good funk alliance
4,all natural
4,all saints
2,all that
1,all the breaks
32,all these fingers
2,all these fingers & doc heller
1,all urban outfield
1,all your bass & the idle kings
3,all-4-one
1,all10
1,allah be universal
4,allan kingdom
1,allan rayman
9,allday
1,allday & c1
1,allee
1,allekirjoittanut
1,allen e.
1,allen gates
2,allen halloween
1,allen iverson aka jewelz
1,allen poe & teck-zilla
1,allen the destroyer
2,allen thomas
1,alles.scheiße
3,alley boy
1,alley life
3,allfiction
1,allfrumtha i
5,alliance ethnik
1,alliance etnik
8,alligatoah
1,alligator food
2,allihave
1,allone & pax
1,alloy-x
1,allsglass
1,alltta
2,allure
2,almighty
1,almighty & k.d. ranks
1,almyghty myghty pythons
3,alnitak_kid
1,alo wala
8,aloe blacc
1,aloe blacc & dj rhettmatic
1,aloe island posse
1,aloka
1,alon de loco (אלון דה לוקו)
5,alonzo
1,alonzothedon
1,alor
1,alostpeople & paris diamond
5,alpa gun
1,alpa gun & greckoe
1,alper atrek
1,alpha
1,alpha (アルファ)
2,alpha 5.20
1,alpha hydrae
1,alpha male society & rob monster
1,alpha prhyme
2,alpha wann
2,alpha wollf
1,alpha/jax
1,alpha1
3,alphabet soup
2,alphabethead
9,alphabets
1,alphabets & jun nagosa
1,alphabets & tree thought
3,alphabets heaven
1,alphachild
1,alphapreest
1,alpis
1,alpoko don
1,alpra
4,alps cru
1,alrima
3,alta
1,altam
2,alter bono
1,alter ego & dan murphy
2,alterbeats
2,altered:carbon
1,altered:carbon & kendall wa
1,alternate reality
1,alternative3
2,altis
5,altis vader
1,altitude.
2,altitvde
1,altly
1,alto pakto
1,alucard & ide
2,aludel
1,aludel & wes hunter
1,alvarez masterminded x k ❍ƒƒ฿∑∆⊺
1,alvaro & lady bee
1,alvia
1,alyosha's dream
4,alyson williams
1,alyssa marie & milez grimez
1,am kidd
1,am sniper
3,am444
1,am7
1,amadaus melodies
2,amadeus the stampede
2,amanda blank
1,amanda blank & xxxchange
1,amanda diva
1,amanda hackey
1,amanda lepore
2,amar
1,amari
1,amateur eyes
1,amateur prose
1,amatuer genius
1,amazigh kateb
2,ambasada
1,ambassadors of funk
1,amber glass
1,amber london
1,amber ojeda
1,ambersmoke
1,ambersunshower
1,ambient dub society
1,ambiguous
1,ambition
2,ambivalent
1,ambrose & nickle nelly
1,amcrr
2,ameeba
1,ameldabee & lefto
1,amelia arsenic
1,amen bk
2,american poets 2099
1,american poets 2099 & warcloud
1,americk lewis they call me easymac
3,amerie
14,amerigo gazaway
3,amewu
4,amg
1,amicabilities
1,amil
5,amin payne
1,amin payne & ben bada boom
1,amin payne & jackson miles
1,amine
1,aminé
1,aminormc
