Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2019/2020,2020-07-06 20:45:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Vallecano,2,4,A,1,1,D,2.57,3.15,3.0,2.45,3.1,3.0,,,,2.4,3.1,3.0
2019/2020,2020-07-05 21:00:00,SP1,Spain,La Liga Primera Division,,Villarreal,Barcelona,1,4,A,1,3,A,4.33,3.97,1.81,4.33,4.0,1.72,,,,4.5,4.1,1.7
2019/2020,2020-07-05 16:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Leganes,0,1,A,0,0,D,2.66,3.03,3.05,2.7,2.9,2.9,,,,2.7,2.95,2.9
2019/2020,2020-07-05 13:00:00,SP1,Spain,La Liga Primera Division,,Ath Bilbao,Real Madrid,0,1,A,0,0,D,5.28,3.74,1.73,5.0,3.9,1.7,,,,5.25,3.8,1.67
2019/2020,2020-07-04 18:30:00,SP2,Spain,La Liga Segunda Division,,Almeria,Tenerife,1,2,A,1,1,D,2.39,3.2,3.23,2.37,3.0,3.2,,,,2.35,3.0,3.2
2019/2020,2020-07-04 16:00:00,SP2,Spain,La Liga Segunda Division,,Santander,Elche,1,2,A,1,0,H,3.82,3.07,2.12,4.2,3.1,2.0,,,,3.8,3.1,2.05
2019/2020,2020-07-02 18:30:00,SP1,Spain,La Liga Primera Division,,Eibar,Osasuna,0,2,A,0,1,A,2.42,3.29,3.25,2.3,3.1,3.3,,,,2.35,3.2,3.2
2019/2020,2020-07-01 21:00:00,SP1,Spain,La Liga Primera Division,,Betis,Villarreal,0,2,A,0,2,A,2.85,3.61,2.52,2.87,3.5,2.4,,,,2.8,3.4,2.5
2019/2020,2020-07-01 20:45:00,SP2,Spain,La Liga Segunda Division,,Ponferradina,Fuenlabrada,0,3,A,0,0,D,2.27,2.97,3.93,2.15,3.0,3.75,,,,2.3,2.9,3.6
2019/2020,2020-07-01 18:30:00,SP1,Spain,La Liga Primera Division,,Valencia,Ath Bilbao,0,2,A,0,1,A,2.63,3.13,3.08,2.5,3.0,3.2,,,,2.5,3.1,3.1
2019/2020,2020-07-01 18:30:00,SP1,Spain,La Liga Primera Division,,Alaves,Granada,0,2,A,0,1,A,2.39,3.09,3.53,2.3,2.9,3.6,,,,2.3,3.0,3.5
2019/2020,2020-06-30 20:00:00,SP1,Spain,La Liga Primera Division,,Leganes,Sevilla,0,3,A,0,2,A,4.63,3.34,1.95,4.5,3.2,1.95,,,,4.4,3.2,1.95
2019/2020,2020-06-29 20:45:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Huesca,0,1,A,0,0,D,2.23,3.2,3.59,2.25,3.0,3.5,,,,2.25,3.0,3.5
2019/2020,2020-06-28 21:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Real Madrid,0,1,A,0,1,A,7.04,4.91,1.45,6.5,4.75,1.44,,,,7.0,4.75,1.44
2019/2020,2020-06-28 18:30:00,SP1,Spain,La Liga Primera Division,,Granada,Eibar,1,2,A,0,1,A,2.5,2.96,3.38,2.37,3.0,3.25,,,,2.4,3.0,3.3
2019/2020,2020-06-27 20:45:00,SP2,Spain,La Liga Segunda Division,,Santander,Albacete,1,2,A,1,0,H,2.73,2.87,3.08,2.6,3.0,2.9,,,,2.65,2.85,3.0
2019/2020,2020-06-27 18:30:00,SP2,Spain,La Liga Segunda Division,,Cadiz,Tenerife,0,2,A,0,1,A,2.14,2.95,4.29,2.0,3.0,4.2,,,,2.05,2.95,4.2
2019/2020,2020-06-25 18:30:00,SP2,Spain,La Liga Segunda Division,,Almeria,Alcorcon,0,1,A,0,1,A,1.89,3.23,4.97,1.8,3.3,4.75,,,,1.78,3.3,5.0
2019/2020,2020-06-24 18:30:00,SP1,Spain,La Liga Primera Division,,Alaves,Osasuna,0,1,A,0,0,D,2.7,3.1,2.94,2.55,3.1,2.9,,,,2.6,3.1,2.95
2019/2020,2020-06-24 18:30:00,SP1,Spain,La Liga Primera Division,,Sociedad,Celta,0,1,A,0,1,A,2.12,3.2,4.0,2.0,3.25,4.0,,,,2.05,3.2,4.0
2019/2020,2020-06-23 20:45:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Zaragoza,1,2,A,1,1,D,3.33,3.18,2.41,3.4,3.0,2.25,,,,3.2,3.1,2.35
2019/2020,2020-06-23 18:30:00,SP1,Spain,La Liga Primera Division,,Levante,Ath Madrid,0,1,A,0,1,A,6.05,3.6,1.71,5.75,3.6,1.65,,,,6.0,3.75,1.62
2019/2020,2020-06-23 18:30:00,SP2,Spain,La Liga Segunda Division,,Elche,La Coruna,0,1,A,0,0,D,2.38,3.1,3.48,2.3,2.9,3.5,,,,2.35,2.9,3.4
2019/2020,2020-06-22 20:45:00,SP2,Spain,La Liga Segunda Division,,Sp Gijon,Oviedo,0,1,A,0,0,D,2.37,3.06,3.45,2.2,3.1,3.5,,,,2.2,3.0,3.5
2019/2020,2020-06-21 21:00:00,SP1,Spain,La Liga Primera Division,,Sociedad,Real Madrid,1,2,A,0,0,D,4.24,4.36,1.78,4.1,4.2,1.75,,,,4.1,4.0,1.8
2019/2020,2020-06-21 16:00:00,SP2,Spain,La Liga Segunda Division,,Mirandes,Ponferradina,1,2,A,1,1,D,2.61,2.9,3.31,2.37,3.1,3.1,,,,2.45,2.85,3.2
2019/2020,2020-06-21 16:00:00,SP2,Spain,La Liga Segunda Division,,Santander,Tenerife,1,2,A,0,1,A,3.26,2.8,2.71,3.2,2.9,2.5,,,,2.95,2.8,2.65
2019/2020,2020-06-20 18:30:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Almeria,0,2,A,0,1,A,2.4,3.1,3.43,2.4,2.9,3.3,,,,2.45,2.95,3.1
2019/2020,2020-06-20 13:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Levante,1,3,A,1,1,D,2.01,3.61,4.0,1.95,3.5,3.8,,,,1.95,3.6,3.9
2019/2020,2020-06-19 18:30:00,SP1,Spain,La Liga Primera Division,,Granada,Villarreal,0,1,A,0,1,A,3.23,3.2,2.49,3.1,3.2,2.4,,,,3.1,3.2,2.4
2019/2020,2020-06-18 20:45:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,Sp Gijon,0,2,A,0,2,A,2.71,2.82,3.16,2.75,2.9,2.8,,,,2.65,2.85,2.95
2019/2020,2020-06-18 18:30:00,SP2,Spain,La Liga Segunda Division,,Huesca,Mirandes,1,2,A,0,0,D,1.79,3.35,5.46,1.75,3.4,5.0,,,,1.75,3.4,5.0
2019/2020,2020-06-18 18:30:00,SP2,Spain,La Liga Segunda Division,,Numancia,Cadiz,1,2,A,1,1,D,3.16,2.89,2.65,3.0,3.0,2.5,,,,2.9,2.9,2.6
2019/2020,2020-06-17 21:00:00,SP1,Spain,La Liga Primera Division,,Osasuna,Ath Madrid,0,5,A,0,1,A,5.36,3.19,1.88,5.0,3.25,1.8,,,,5.25,3.2,1.83
2019/2020,2020-06-17 18:30:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Albacete,0,1,A,0,1,A,2.56,2.87,3.31,2.45,3.0,3.1,,,,2.55,2.8,3.1
2019/2020,2020-06-17 18:30:00,SP2,Spain,La Liga Segunda Division,,Almeria,Las Palmas,0,1,A,0,1,A,1.88,3.32,4.86,1.8,3.4,4.75,,,,1.83,3.25,4.6
2019/2020,2020-06-16 18:30:00,SP2,Spain,La Liga Segunda Division,,Lugo,Zaragoza,1,3,A,0,1,A,4.33,3.15,2.04,4.0,3.3,1.95,,,,4.1,3.2,1.95
2019/2020,2020-06-14 18:30:00,SP2,Spain,La Liga Segunda Division,,Albacete,Almeria,0,1,A,0,1,A,2.95,3.0,2.72,3.0,3.0,2.5,,,,2.85,2.95,2.7
2019/2020,2020-06-13 21:00:00,SP1,Spain,La Liga Primera Division,,Mallorca,Barcelona,0,4,A,0,2,A,9.96,6.21,1.29,10.0,5.75,1.28,,,,9.5,6.0,1.28
2019/2020,2020-06-13 20:30:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Alcorcon,1,3,A,0,0,D,1.79,3.45,5.2,1.72,3.5,4.75,,,,1.78,3.4,5.0
2019/2020,2020-06-13 18:30:00,SP1,Spain,La Liga Primera Division,,Leganes,Valladolid,1,2,A,0,1,A,2.31,3.08,3.63,2.25,3.0,3.5,,,,2.35,3.0,3.4
2019/2020,2020-06-13 16:00:00,SP2,Spain,La Liga Segunda Division,,Santander,Lugo,1,2,A,1,0,H,2.32,3.02,3.61,2.2,3.1,3.5,,,,2.25,3.0,3.5
2019/2020,2020-06-13 16:00:00,SP1,Spain,La Liga Primera Division,,Celta,Villarreal,0,1,A,0,0,D,2.64,3.39,2.78,2.5,3.4,2.7,,,,2.55,3.3,2.8
2019/2020,2020-06-12 18:30:00,SP2,Spain,La Liga Segunda Division,,Malaga,Huesca,1,3,A,1,2,A,2.85,3.12,2.71,2.75,3.0,2.75,,,,2.7,3.2,2.65
2019/2020,2020-03-10 19:00:00,SP1,Spain,La Liga Primera Division,,Eibar,Sociedad,1,2,A,0,1,A,3.4,3.39,2.25,3.4,3.3,2.2,,,,3.3,3.3,2.25
2019/2020,2020-03-08 17:30:00,SP1,Spain,La Liga Primera Division,,Villarreal,Leganes,1,2,A,1,0,H,1.72,3.82,5.19,1.75,3.6,5.0,,,,1.67,3.8,5.25
2019/2020,2020-03-08 17:15:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,Mirandes,1,2,A,0,0,D,2.2,2.94,4.08,2.1,3.1,3.75,,,,2.2,3.0,3.7
2019/2020,2020-03-08 15:00:00,SP2,Spain,La Liga Segunda Division,,Malaga,Zaragoza,0,1,A,0,0,D,2.69,2.97,3.02,2.6,3.0,2.9,,,,2.55,2.95,3.0
2019/2020,2020-03-08 13:00:00,SP1,Spain,La Liga Primera Division,,Valladolid,Ath Bilbao,1,4,A,0,2,A,3.06,2.81,2.85,3.0,2.8,2.75,,,,2.95,2.85,2.75
2019/2020,2020-03-08 11:00:00,SP2,Spain,La Liga Segunda Division,,Vallecano,Elche,2,3,A,1,0,H,2.06,3.16,4.24,2.0,3.2,4.0,,,,2.0,3.25,3.9
2019/2020,2020-03-07 17:15:00,SP2,Spain,La Liga Segunda Division,,Numancia,Santander,1,2,A,0,0,D,1.74,3.37,5.91,1.8,3.4,4.75,,,,1.75,3.3,5.25
2019/2020,2020-03-07 15:00:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Oviedo,1,2,A,0,1,A,2.83,2.87,2.96,2.7,2.87,2.87,,,,2.55,2.95,3.0
2019/2020,2020-03-07 12:00:00,SP1,Spain,La Liga Primera Division,,Eibar,Mallorca,1,2,A,0,1,A,1.74,3.73,5.23,1.7,3.6,5.25,,,,1.72,3.6,5.25
2019/2020,2020-03-01 17:30:00,SP1,Spain,La Liga Primera Division,,Mallorca,Getafe,0,1,A,0,0,D,3.74,2.96,2.34,3.7,3.0,2.25,,,,3.6,3.0,2.3
2019/2020,2020-03-01 17:15:00,SP2,Spain,La Liga Segunda Division,,Fuenlabrada,Alcorcon,3,4,A,1,3,A,2.24,2.99,3.86,2.2,2.87,3.8,,,,2.2,2.9,3.8
2019/2020,2020-02-23 17:30:00,SP1,Spain,La Liga Primera Division,,Getafe,Sevilla,0,3,A,0,1,A,2.33,3.16,3.48,2.3,3.1,3.4,,,,2.35,3.1,3.3
2019/2020,2020-02-23 11:00:00,SP1,Spain,La Liga Primera Division,,Osasuna,Granada,0,3,A,0,3,A,1.93,3.52,4.4,1.85,3.4,4.33,,,,1.91,3.4,4.25
2019/2020,2020-02-16 17:30:00,SP1,Spain,La Liga Primera Division,,Ath Bilbao,Osasuna,0,1,A,0,1,A,2.07,3.19,4.24,2.0,3.25,4.1,,,,2.0,3.25,4.2
2019/2020,2020-02-16 17:15:00,SP2,Spain,La Liga Segunda Division,,Santander,Sp Gijon,0,2,A,0,1,A,2.79,2.79,3.09,2.62,3.0,2.87,,,,2.8,2.9,2.8
2019/2020,2020-02-16 15:00:00,SP2,Spain,La Liga Segunda Division,,Cadiz,Malaga,0,1,A,0,0,D,1.97,3.03,4.97,2.0,2.9,4.5,,,,1.95,3.1,4.5
2019/2020,2020-02-16 11:00:00,SP2,Spain,La Liga Segunda Division,,Fuenlabrada,Lugo,0,1,A,0,0,D,1.7,3.42,6.2,1.66,3.4,5.0,,,,1.75,3.5,5.0
2019/2020,2020-02-15 20:00:00,SP2,Spain,La Liga Segunda Division,,Elche,Zaragoza,1,2,A,1,2,A,2.97,2.91,2.78,2.87,2.9,2.5,,,,2.9,2.95,2.65
2019/2020,2020-02-15 17:15:00,SP2,Spain,La Liga Segunda Division,,Oviedo,Alcorcon,1,2,A,0,2,A,2.28,2.86,3.97,2.1,2.9,3.6,,,,2.25,3.0,3.5
2019/2020,2020-02-09 20:00:00,SP1,Spain,La Liga Primera Division,,Betis,Barcelona,2,3,A,2,2,D,4.14,3.84,1.88,4.0,3.8,1.85,,,,4.25,3.9,1.8
2019/2020,2020-02-09 15:00:00,SP1,Spain,La Liga Primera Division,,Osasuna,Real Madrid,1,4,A,1,2,A,5.87,4.59,1.55,5.75,4.5,1.53,,,,6.0,4.2,1.55
2019/2020,2020-02-09 11:00:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,La Coruna,0,1,A,0,0,D,2.62,2.71,3.45,2.45,2.87,3.25,,,,2.55,2.7,3.4
2019/2020,2020-02-08 17:15:00,SP2,Spain,La Liga Segunda Division,,Las Palmas,Cadiz,1,2,A,0,1,A,2.63,2.8,3.31,2.55,2.87,3.1,,,,2.55,2.75,3.25
2019/2020,2020-02-08 15:00:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Tenerife,2,4,A,0,2,A,2.54,2.87,3.36,2.4,2.87,3.3,,,,2.35,2.9,3.4
2019/2020,2020-02-07 20:00:00,SP2,Spain,La Liga Segunda Division,,Almeria,Santander,0,1,A,0,1,A,1.62,3.62,6.78,1.61,3.6,6.0,,,,1.6,3.5,6.75
2019/2020,2020-02-02 15:00:00,SP1,Spain,La Liga Primera Division,,Ath Bilbao,Getafe,0,2,A,0,1,A,2.6,2.87,3.33,2.55,2.8,3.3,,,,2.4,2.95,3.4
2019/2020,2020-02-02 11:00:00,SP2,Spain,La Liga Segunda Division,,Fuenlabrada,Girona,0,1,A,0,1,A,2.67,2.96,3.06,2.5,3.0,3.0,,,,2.5,2.95,3.1
2019/2020,2020-02-01 17:30:00,SP1,Spain,La Liga Primera Division,,Mallorca,Valladolid,0,1,A,0,0,D,2.3,3.25,3.43,2.25,3.25,3.4,,,,2.25,3.3,3.3
2019/2020,2020-01-26 20:00:00,SP1,Spain,La Liga Primera Division,,Valladolid,Real Madrid,0,1,A,0,0,D,7.15,5.0,1.44,7.5,4.5,1.44,,,,6.75,5.0,1.42
2019/2020,2020-01-26 15:00:00,SP2,Spain,La Liga Segunda Division,,Almeria,Elche,0,2,A,0,0,D,1.75,3.51,5.48,1.8,3.25,5.0,,,,1.75,3.5,5.0
2019/2020,2020-01-26 15:00:00,SP2,Spain,La Liga Segunda Division,,Albacete,La Coruna,0,1,A,0,1,A,2.46,2.96,3.39,2.5,2.8,3.25,,,,2.55,3.0,3.0
2019/2020,2020-01-25 17:30:00,SP1,Spain,La Liga Primera Division,,Alaves,Villarreal,1,2,A,0,1,A,2.89,3.23,2.65,2.8,3.25,2.55,,,,2.8,3.3,2.55
2019/2020,2020-01-19 19:30:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Almeria,1,2,A,1,1,D,3.17,2.93,2.61,3.1,2.9,2.5,,,,3.1,2.9,2.55
2019/2020,2020-01-19 15:00:00,SP1,Spain,La Liga Primera Division,,Villarreal,Espanol,1,2,A,0,1,A,1.67,4.03,5.38,1.65,3.8,5.75,,,,1.67,3.9,5.25
2019/2020,2020-01-18 12:00:00,SP1,Spain,La Liga Primera Division,,Levante,Alaves,0,1,A,0,0,D,2.09,3.52,3.7,2.05,3.4,3.75,,,,2.0,3.5,3.8
2019/2020,2020-01-17 20:00:00,SP1,Spain,La Liga Primera Division,,Leganes,Getafe,0,3,A,0,3,A,2.96,2.82,2.94,3.0,2.87,2.7,,,,2.9,2.85,2.8
2019/2020,2020-01-14 20:30:00,SP2,Spain,La Liga Segunda Division,,Las Palmas,Zaragoza,0,1,A,0,0,D,2.55,3.39,2.84,2.4,3.3,2.87,,,,2.45,3.25,2.9
2019/2020,2020-01-05 13:00:00,SP1,Spain,La Liga Primera Division,,Sociedad,Villarreal,1,2,A,1,0,H,1.95,3.98,3.76,1.85,3.9,3.9,,,,1.85,3.9,3.9
2019/2020,2020-01-05 11:00:00,SP2,Spain,La Liga Segunda Division,,Numancia,La Coruna,0,1,A,0,0,D,2.2,3.06,3.85,2.1,3.2,3.6,,,,2.2,3.0,3.7
2019/2020,2020-01-04 17:00:00,SP2,Spain,La Liga Segunda Division,,Lugo,Almeria,0,4,A,0,2,A,3.45,3.08,2.35,3.2,3.2,2.3,,,,3.1,3.2,2.35
2019/2020,2020-01-04 15:00:00,SP1,Spain,La Liga Primera Division,,Getafe,Real Madrid,0,3,A,0,1,A,4.4,3.7,1.87,4.2,3.6,1.85,,,,4.33,3.6,1.85
2019/2020,2019-12-22 19:00:00,SP2,Spain,La Liga Segunda Division,,Girona,Mirandes,0,3,A,0,1,A,1.68,3.56,5.99,1.65,3.6,5.75,,,,1.7,3.4,5.75
2019/2020,2019-12-22 15:00:00,SP1,Spain,La Liga Primera Division,,Betis,Ath Madrid,1,2,A,0,0,D,3.92,3.39,2.07,3.8,3.3,2.1,,,,3.8,3.4,2.05
2019/2020,2019-12-22 13:00:00,SP1,Spain,La Liga Primera Division,,Osasuna,Sociedad,3,4,A,1,3,A,2.82,3.39,2.61,2.8,3.4,2.5,,,,2.8,3.1,2.7
2019/2020,2019-12-22 11:00:00,SP2,Spain,La Liga Segunda Division,,Almeria,Ponferradina,2,3,A,1,0,H,1.78,3.44,5.37,1.75,3.4,5.0,,,,1.78,3.4,5.0
2019/2020,2019-12-21 20:00:00,SP2,Spain,La Liga Segunda Division,,Cadiz,Numancia,2,4,A,1,1,D,1.78,3.25,5.91,1.72,3.1,6.0,,,,1.72,3.2,6.0
2019/2020,2019-12-21 17:00:00,SP2,Spain,La Liga Segunda Division,,Sp Gijon,Extremadura UD,0,1,A,0,0,D,1.72,3.49,5.83,1.66,3.3,6.0,,,,1.7,3.3,6.0
2019/2020,2019-12-21 15:00:00,SP2,Spain,La Liga Segunda Division,,Albacete,Elche,0,1,A,0,0,D,2.14,3.2,3.83,2.05,3.1,4.0,,,,2.1,3.2,3.7
2019/2020,2019-12-21 12:00:00,SP1,Spain,La Liga Primera Division,,Mallorca,Sevilla,0,2,A,0,1,A,4.99,3.91,1.73,5.0,4.0,1.66,,,,5.25,3.9,1.67
2019/2020,2019-12-15 17:30:00,SP1,Spain,La Liga Primera Division,,Sevilla,Villarreal,1,2,A,0,1,A,1.68,4.21,5.05,1.66,4.0,5.0,,,,1.67,4.1,4.75
2019/2020,2019-12-15 17:00:00,SP2,Spain,La Liga Segunda Division,,Lugo,Sp Gijon,1,2,A,0,1,A,3.32,3.1,2.41,3.2,3.0,2.37,,,,3.3,3.0,2.35
2019/2020,2019-12-15 17:00:00,SP2,Spain,La Liga Segunda Division,,Elche,Las Palmas,2,3,A,2,0,H,2.64,2.94,3.12,2.4,2.8,3.1,,,,2.55,2.95,3.0
2019/2020,2019-12-15 15:00:00,SP2,Spain,La Liga Segunda Division,,Oviedo,Cadiz,0,2,A,0,1,A,2.36,2.99,3.55,2.3,2.75,3.4,,,,2.4,2.95,3.25
2019/2020,2019-12-14 12:00:00,SP1,Spain,La Liga Primera Division,,Granada,Levante,1,2,A,0,0,D,2.05,3.58,3.82,2.0,3.6,3.8,,,,2.0,3.5,3.8
2019/2020,2019-12-08 15:00:00,SP2,Spain,La Liga Segunda Division,,La Coruna,Zaragoza,1,3,A,0,2,A,2.45,3.32,3.07,2.37,3.25,3.0,,,,2.25,3.2,3.2
2019/2020,2019-12-08 11:00:00,SP1,Spain,La Liga Primera Division,,Eibar,Getafe,0,1,A,0,0,D,2.82,3.05,2.88,2.8,2.9,2.87,,,,2.65,3.0,2.95
2019/2020,2019-12-07 17:30:00,SP1,Spain,La Liga Primera Division,,Levante,Valencia,2,4,A,2,1,H,3.08,3.89,2.23,3.2,3.75,2.15,,,,3.0,3.75,2.2
2019/2020,2019-12-07 15:00:00,SP2,Spain,La Liga Segunda Division,,Huesca,Vallecano,0,2,A,0,1,A,1.97,3.49,4.21,1.85,3.4,4.5,,,,1.95,3.2,4.1
2019/2020,2019-12-06 17:30:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,Oviedo,1,3,A,1,2,A,2.38,2.94,3.65,2.2,2.87,3.8,,,,2.35,2.85,3.5
2019/2020,2019-12-01 20:00:00,SP1,Spain,La Liga Primera Division,,Ath Madrid,Barcelona,0,1,A,0,0,D,2.88,3.24,2.68,2.75,3.3,2.6,,,,2.85,3.3,2.5
2019/2020,2019-12-01 19:00:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Las Palmas,0,1,A,0,1,A,2.51,3.31,2.99,2.45,3.0,3.1,,,,2.5,3.0,3.1
2019/2020,2019-12-01 15:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Osasuna,2,4,A,1,0,H,2.23,3.3,3.6,2.15,3.1,3.6,,,,2.2,3.1,3.6
2019/2020,2019-11-30 17:30:00,SP1,Spain,La Liga Primera Division,,Mallorca,Betis,1,2,A,0,2,A,2.74,3.35,2.73,2.62,3.3,2.7,,,,2.65,3.3,2.7
2019/2020,2019-11-30 17:00:00,SP2,Spain,La Liga Segunda Division,,Tenerife,Almeria,1,3,A,1,2,A,2.35,3.13,3.46,2.2,3.1,3.6,,,,2.3,3.0,3.4
2019/2020,2019-11-30 15:00:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,Huesca,0,2,A,0,0,D,3.39,3.06,2.42,3.25,3.1,2.3,,,,3.5,2.95,2.3
2019/2020,2019-11-30 12:00:00,SP1,Spain,La Liga Primera Division,,Alaves,Real Madrid,1,2,A,0,0,D,6.12,4.65,1.53,6.5,4.33,1.5,,,,6.0,4.33,1.53
2019/2020,2019-11-24 20:00:00,SP1,Spain,La Liga Primera Division,,Valladolid,Sevilla,0,1,A,0,1,A,4.23,3.79,1.89,4.0,3.5,1.9,,,,4.1,3.5,1.91
2019/2020,2019-11-24 17:30:00,SP1,Spain,La Liga Primera Division,,Villarreal,Celta,1,3,A,0,0,D,1.8,3.97,4.49,1.8,3.8,4.33,,,,1.78,3.8,4.5
