FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1996,2450375.5,293,1100,4.0,Campfire,2450375.5,293,1300,0.5,B,33.34166667,-97.59833333,5.0,USFS,TX,,,
1996,2450125.5,43,1230,4.0,Campfire,2450125.5,43,1312,0.1,A,31.11388889,-95.13333333,5.0,USFS,TX,,,
1996,2450150.5,68,0615,4.0,Campfire,2450150.5,68,1100,3.0,B,31.18333333,-95.03333333,5.0,USFS,TX,,,
1996,2450152.5,70,1300,4.0,Campfire,2450152.5,70,1630,40.0,C,30.56111111,-95.78833333,13.0,STATE OR PRIVATE,TX,,,
1996,2450377.5,295,1500,4.0,Campfire,2450377.5,295,1900,65.0,C,31.18861111,-94.33916667,5.0,USFS,TX,,,
1997,2450477.5,29,1800,4.0,Campfire,2450478.5,30,0700,4.0,B,33.35833333,-97.63027778,5.0,USFS,TX,,,
1997,2450536.5,88,1300,4.0,Campfire,2450536.5,88,1305,0.1,A,33.34166667,-97.59833333,5.0,USFS,TX,,,
1997,2450683.5,235,0001,4.0,Campfire,2450683.5,235,2000,3.0,B,33.34,-97.595,5.0,USFS,TX,,,
1997,2450712.5,264,1515,4.0,Campfire,2450712.5,264,1800,10.0,C,31.2,-94.33833333,13.0,STATE OR PRIVATE,TX,,,
1997,2450724.5,276,1610,4.0,Campfire,2450724.5,276,1910,34.0,C,31.35,-95.25833333,5.0,USFS,TX,,,
1997,2450741.5,293,1230,4.0,Campfire,2450741.5,293,1300,0.3,B,30.49166667,-95.25833333,5.0,USFS,TX,,,
1998,2450901.5,88,1455,4.0,Campfire,2450901.5,88,1725,20.0,C,31.17166667,-93.605,5.0,USFS,TX,403,403,Sabine
1998,2451018.5,205,1350,4.0,Campfire,2451018.5,205,1700,21.0,C,31.43333333,-93.75,5.0,USFS,TX,403,403,Sabine
1998,2450932.5,119,1630,4.0,Campfire,2450932.5,119,1730,0.5,B,30.52166667,-95.605,5.0,USFS,TX,471,471,Walker
1999,2451510.5,332,1800,4.0,Campfire,2451510.5,332,1900,0.1,A,31.45277778,-95.27777778,5.0,USFS,TX,225,225,Houston
1999,2451475.5,297,1650,4.0,Campfire,2451475.5,297,1857,3.3,B,31.36388889,-95.2525,5.0,USFS,TX,225,225,Houston
1999,2451412.5,234,1525,4.0,Campfire,2451412.5,234,1745,0.1,A,31.49583333,-95.1125,5.0,USFS,TX,225,225,Houston
1999,2451222.5,44,1100,4.0,Campfire,2451222.5,44,1315,30.0,C,31.06805556,-94.13333333,5.0,USFS,TX,241,241,Jasper
1999,2451475.5,297,1330,4.0,Campfire,2451475.5,297,1630,10.0,C,30.50166667,-95.7,5.0,USFS,TX,339,339,Montgomery
1999,2451498.5,320,1000,4.0,Campfire,2451498.5,320,1100,1.0,B,30.51666667,-95.55,5.0,USFS,TX,471,471,Walker
1999,2451509.5,331,1545,4.0,Campfire,2451509.5,331,1645,0.1,A,30.5175,-95.58416667,5.0,USFS,TX,339,339,Montgomery
1999,2451489.5,311,1315,4.0,Campfire,2451489.5,311,2110,6.0,B,31.06777778,-94.38361111,5.0,USFS,TX,5,005,Angelina
1999,2451503.5,325,1515,4.0,Campfire,2451503.5,325,1700,3.0,B,31.33333333,-95.00138889,5.0,USFS,TX,455,455,Trinity
2000,2451544.5,1,1330,4.0,Campfire,2451544.5,1,1715,3.4,B,31.12916667,-95.04027778,5.0,USFS,TX,,,
2000,2451687.5,144,1815,4.0,Campfire,2451687.5,144,1930,2.0,B,31.1375,-94.2625,5.0,USFS,TX,,,
2000,2451782.5,239,1600,4.0,Campfire,2451783.5,240,1700,11.0,C,31.54833333,-95.15444444,5.0,USFS,TX,,,
2000,2451703.5,160,1350,4.0,Campfire,2451704.5,161,1200,2.0,B,33.33472222,-97.63472222,5.0,USFS,TX,,,
2000,2451788.5,245,0930,4.0,Campfire,2451788.5,245,1700,40.0,C,31.3875,-93.775,5.0,USFS,TX,,,
2000,2451818.5,275,1745,4.0,Campfire,2451818.5,275,1915,0.1,A,31.25833333,-95.23333333,5.0,USFS,TX,,,
2000,2451831.5,288,1745,4.0,Campfire,2451832.5,289,1400,7.0,B,31.16083333,-95.14,5.0,USFS,TX,,,
2001,2452049.5,140,1715,4.0,Campfire,2452049.5,140,1745,0.1,A,30.55,-95.13333333,5.0,USFS,TX,,,
2001,2452274.5,365,0600,4.0,Campfire,2452274.5,365,1330,55.0,C,31.55416667,-93.82083333,5.0,USFS,TX,,,
2002,2452315.5,41,2030,4.0,Campfire,2452315.5,41,2100,0.5,B,33.34833333,-97.59888889,5.0,USFS,TX,,,
2002,2452338.5,64,1000,4.0,Campfire,2452338.5,64,1600,15.0,C,31.35138889,-94.25416667,5.0,USFS,TX,,,
2002,2452428.5,154,0900,4.0,Campfire,2452428.5,154,1015,0.1,A,30.45694444,-95.64166667,5.0,USFS,TX,,,
2002,2452551.5,277,2030,4.0,Campfire,2452552.5,278,1000,8.0,B,31.49722222,-95.175,5.0,USFS,TX,,,
2003,2452672.5,33,1915,4.0,Campfire,2452672.5,33,2100,2.0,B,30.525,-95.61138889,5.0,USFS,TX,,,
2003,2452734.5,95,1525,4.0,Campfire,2452734.5,95,2000,1.0,B,33.40083333,-97.65277778,5.0,USFS,TX,,,
2003,2452941.5,302,1455,4.0,Campfire,2452941.5,302,1610,3.0,B,31.475,-93.82916667,5.0,USFS,TX,,,
2003,2452964.5,325,1245,4.0,Campfire,2452964.5,325,1500,3.0,B,31.24583333,-93.81666667,5.0,USFS,TX,,,
2004,2453057.5,53,1050,4.0,Campfire,2453057.5,53,2000,20.0,C,33.3675,-97.58388889,5.0,USFS,TX,,,
2004,2453057.5,53,1050,4.0,Campfire,2453057.5,53,2000,6.0,B,33.33222222,-97.56805556,5.0,USFS,TX,,,
2004,2453351.5,347,1430,4.0,Campfire,2453351.5,347,1530,0.25,A,33.40861111,-97.63861111,5.0,USFS,TX,,,
2004,2453352.5,348,0500,4.0,Campfire,2453352.5,348,1500,1.0,B,35.88333333,-100.18333333,5.0,USFS,TX,211,211,Hemphill
1992,2448882.5,261,1700,4.0,Campfire,,,,0.2,A,29.79908,-101.38356,3.0,NPS,TX,,,
1995,2449970.5,253,1620,4.0,Campfire,2449970.5,253,1645,0.1,A,29.47948,-101.00084,3.0,NPS,TX,,,
1997,2450702.5,254,1700,4.0,Campfire,2450702.5,254,1800,0.8,B,29.65897,-100.92897,3.0,NPS,TX,,,
1998,2450844.5,31,1500,4.0,Campfire,2450844.5,31,1720,0.2,A,29.6637,-100.93659,3.0,NPS,TX,,,
1993,2449194.5,207,1630,4.0,Campfire,,,,1.9,B,29.25667,-102.93039,3.0,NPS,TX,,,
1994,2449465.5,113,1530,4.0,Campfire,2449465.5,113,1600,0.1,A,29.32093,-103.21068,3.0,NPS,TX,,,
1995,2450009.5,292,1645,4.0,Campfire,2450009.5,292,1800,0.1,A,29.22999,-103.37565,3.0,NPS,TX,,,
1997,2450763.5,315,1400,4.0,Campfire,,,,1.0,B,29.80852,-102.37542,6.0,OTHER FEDERAL,TX,,,
1998,2451026.5,213,1555,4.0,Campfire,,,,2.0,B,29.73789,-102.68146,7.0,STATE,TX,,,
1992,2448660.5,39,1930,4.0,Campfire,2448660.5,39,1935,0.1,A,35.3667,-101.5333,3.0,NPS,TX,,,
1992,2448665.5,44,0930,4.0,Campfire,2448665.5,44,1050,0.1,A,35.5223,-101.7588,3.0,NPS,TX,,,
1992,2448671.5,50,0915,4.0,Campfire,2448671.5,50,1045,0.1,A,35.5,-101.7338,3.0,NPS,TX,,,
1992,2448682.5,61,1330,4.0,Campfire,,,,0.1,A,35.6459,-101.6255,3.0,NPS,TX,,,
1992,2448700.5,79,1215,4.0,Campfire,2448700.5,79,1548,12.0,C,35.7917,-101.6421,3.0,NPS,TX,,,
1992,2448740.5,119,2100,4.0,Campfire,2448741.5,120,0130,1.8,B,35.4792,-101.761,3.0,NPS,TX,,,
1992,2448905.5,284,1235,4.0,Campfire,2448905.5,284,1345,0.1,A,35.5167,-101.731,3.0,NPS,TX,,,
1993,2449101.5,114,0001,4.0,Campfire,2449101.5,114,0010,0.1,A,35.6125,-101.7463,3.0,NPS,TX,,,
1993,2449220.5,233,1910,4.0,Campfire,2449220.5,233,1929,0.7,B,35.6042,-101.7046,3.0,NPS,TX,,,
1993,2449314.5,327,0800,4.0,Campfire,,,,0.1,A,35.65,-101.6296,3.0,NPS,TX,,,
1993,2449318.5,331,1220,4.0,Campfire,2449321.5,334,1700,1258.0,F,35.5945,-101.7282,3.0,NPS,TX,,,
1994,2449410.5,58,1520,4.0,Campfire,2449410.5,58,1550,2.0,B,35.4917,-101.813,3.0,NPS,TX,,,
1994,2449412.5,60,1758,4.0,Campfire,,,,0.1,A,35.6917,-101.6393,3.0,NPS,TX,,,
1994,2449427.5,75,1200,4.0,Campfire,2449427.5,75,1230,2.0,B,35.7167,-101.5518,3.0,NPS,TX,,,
1994,2449430.5,78,0400,4.0,Campfire,2449430.5,78,0500,1.5,B,35.7167,-101.5727,3.0,NPS,TX,,,
1994,2449431.5,79,1435,4.0,Campfire,,,,0.1,A,35.7209,-101.5879,3.0,NPS,TX,,,
1994,2449444.5,92,2115,4.0,Campfire,2449444.5,92,2245,3.0,B,35.6853,-101.6255,3.0,NPS,TX,,,
1994,2449449.5,97,1600,4.0,Campfire,2449449.5,97,1800,25.0,C,35.4709,-101.8741,7.0,STATE,TX,,,
1994,2449493.5,141,1425,4.0,Campfire,2449493.5,141,1438,0.1,A,35.6959,-101.5588,3.0,NPS,TX,,,
1994,2449522.5,170,1415,4.0,Campfire,2449522.5,170,1445,0.1,A,35.675,-101.5941,8.0,PRIVATE,TX,,,
1996,2450408.5,326,1000,4.0,Campfire,2450408.5,326,1015,0.1,A,35.4667,-101.8617,3.0,NPS,TX,,,
1997,2450516.5,68,1430,4.0,Campfire,2450516.5,68,1435,0.1,A,35.475,-101.8333,3.0,NPS,TX,,,
1997,2450612.5,164,1000,4.0,Campfire,2450612.5,164,1000,0.1,A,35.7086,-101.6486,3.0,NPS,TX,,,
1998,2450908.5,95,1230,4.0,Campfire,2450908.5,95,1245,0.2,A,35.6967,-101.64,3.0,NPS,TX,,,
1998,2450946.5,133,2130,4.0,Campfire,2450947.5,134,0230,20.0,C,35.4717,-101.8361,3.0,NPS,TX,,,
1998,2450947.5,134,1400,4.0,Campfire,,,,0.1,A,35.7242,-101.6622,3.0,NPS,TX,,,
1998,2450971.5,158,1430,4.0,Campfire,2450971.5,158,1445,0.1,A,35.6514,-101.6333,3.0,NPS,TX,,,
1999,2451236.5,58,1000,4.0,Campfire,2451236.5,58,1000,0.5,B,35.4717,-101.8361,3.0,NPS,TX,,,
1999,2451242.5,64,0015,4.0,Campfire,2451242.5,64,0400,50.0,C,35.705,-101.5533,3.0,NPS,TX,,,
1999,2451276.5,98,1300,4.0,Campfire,2451276.5,98,1330,0.1,A,35.4664,-101.8333,3.0,NPS,TX,,,
1999,2451413.5,235,1730,4.0,Campfire,2451413.5,235,2030,20.0,C,35.6483,-101.6317,3.0,NPS,TX,,,
1999,2451493.5,315,1400,4.0,Campfire,2451493.5,315,1400,3.0,B,35.7256,-101.5581,3.0,NPS,TX,,,
1999,2451242.5,64,1400,4.0,Campfire,,,,1.0,B,29.748264,-102.610475,3.0,NPS,TX,,,
2008,2454469.5,4,1600,4.0,Campfire,2454469.5,4,2200,10.0,C,30.7094,-94.6772,9.0,TRIBAL,TX,,,
2008,2454480.5,15,0948,4.0,Campfire,2454480.5,15,1700,10.0,C,30.7069,-94.6753,9.0,TRIBAL,TX,,,
2000,2451594.5,51,2155,4.0,Campfire,2451597.5,54,1730,60.7,C,29.8,-101.53333,6.0,OTHER FEDERAL,TX,,,
2003,2452686.5,47,1200,4.0,Campfire,2452686.5,47,1245,0.1,A,29.61942,-100.93939,3.0,NPS,TX,,,
2003,2452782.5,143,2100,4.0,Campfire,2452782.5,143,2230,0.5,B,29.48147,-100.98681,3.0,NPS,TX,,,
2003,2452819.5,180,1400,4.0,Campfire,2452819.5,180,1430,0.1,A,29.64786,-100.92631,3.0,NPS,TX,,,
2008,2454520.5,55,1600,4.0,Campfire,2454520.5,55,1612,0.1,A,29.57336,-100.97767,3.0,NPS,TX,,,
2002,2452312.5,38,0930,4.0,Campfire,2452312.5,38,1030,0.1,A,29.26727,-103.10014,3.0,NPS,TX,,,
2002,2452345.5,71,1730,4.0,Campfire,2452345.5,71,1735,0.1,A,29.276,-103.30282,3.0,NPS,TX,,,
2007,2454222.5,122,1300,4.0,Campfire,2454222.5,122,1330,0.1,A,29.2003,-102.9669,3.0,NPS,TX,,,
2005,2453441.5,71,1700,4.0,Campfire,2453441.5,71,1830,10.0,C,30.6261,-94.0828,3.0,NPS,TX,,,
2000,2451594.5,51,1100,4.0,Campfire,2451594.5,51,1100,0.2,A,35.4578,-101.8492,3.0,NPS,TX,,,
2000,2451691.5,148,1100,4.0,Campfire,2451691.5,148,1105,0.1,A,35.7125,-101.5667,3.0,NPS,TX,,,
2000,2451789.5,246,2359,4.0,Campfire,2451789.5,246,2359,0.1,A,35.7083,-101.6139,3.0,NPS,TX,,,
2001,2451965.5,56,1520,4.0,Campfire,2451965.5,56,1930,0.1,A,35.4655,-101.84426,3.0,NPS,TX,,,
2001,2452076.5,167,0130,4.0,Campfire,2452076.5,167,0130,0.1,A,35.7056,-101.5522,3.0,NPS,TX,,,
2001,2452091.5,182,0915,4.0,Campfire,2452091.5,182,1030,0.1,A,35.675,-101.58,3.0,NPS,TX,,,
2002,2452328.5,54,1200,4.0,Campfire,2452328.5,54,1300,0.1,A,35.47152,-101.83209,3.0,NPS,TX,,,
2002,2452329.5,55,1345,4.0,Campfire,2452329.5,55,1450,3.0,B,35.5175,-101.7636,7.0,STATE,TX,,,
2002,2452601.5,327,1500,4.0,Campfire,2452601.5,327,1515,0.1,A,35.5978,-101.7367,3.0,NPS,TX,,,
2002,2452609.5,335,1340,4.0,Campfire,2452609.5,335,1345,0.1,A,35.52732,-101.7568,3.0,NPS,TX,,,
2002,2452609.5,335,1405,4.0,Campfire,2452609.5,335,1410,0.1,A,35.52608,-101.74948,3.0,NPS,TX,,,
2002,2452609.5,335,1425,4.0,Campfire,2452609.5,335,1430,0.1,A,35.55219,-101.73692,3.0,NPS,TX,,,
2002,2452623.5,349,1715,4.0,Campfire,2452623.5,349,1745,0.1,A,35.72061,-101.55146,3.0,NPS,TX,,,
2003,2452692.5,53,1910,4.0,Campfire,2452692.5,53,1945,0.1,A,35.46822,-101.82363,3.0,NPS,TX,,,
2003,2452692.5,53,2110,4.0,Campfire,2452692.5,53,2145,0.1,A,35.46392,-101.84669,3.0,NPS,TX,,,
2003,2452731.5,92,1145,4.0,Campfire,2452731.5,92,1255,1.5,B,35.69365,-101.6399,3.0,NPS,TX,,,
2003,2452749.5,110,1215,4.0,Campfire,2452749.5,110,1520,0.1,A,35.70176,-101.65376,3.0,NPS,TX,,,
2003,2452776.5,137,1530,4.0,Campfire,2452776.5,137,1645,0.1,A,35.71673,-101.65796,3.0,NPS,TX,,,
2003,2452777.5,138,1345,4.0,Campfire,2452777.5,138,1530,0.1,A,35.46477,-101.84773,3.0,NPS,TX,,,
2003,2452783.5,144,1800,4.0,Campfire,2452783.5,144,2200,0.1,A,35.46477,-101.84773,3.0,NPS,TX,,,
2003,2452784.5,145,1845,4.0,Campfire,2452784.5,145,1945,0.1,A,35.6967,-101.5511,3.0,NPS,TX,,,
2003,2452789.5,150,1700,4.0,Campfire,2452789.5,150,1745,0.1,A,35.71672,-101.65793,3.0,NPS,TX,,,
2003,2452875.5,236,0800,4.0,Campfire,2452875.5,236,0930,0.1,A,35.69412,-101.57592,3.0,NPS,TX,,,
2003,2452989.5,350,1300,4.0,Campfire,2452989.5,350,1300,2.0,B,35.46315,-101.8374,3.0,NPS,TX,,,
2004,2453015.5,11,1700,4.0,Campfire,2453015.5,11,1800,0.1,A,35.5883,-101.7367,3.0,NPS,TX,,,
2004,2453028.5,24,1700,4.0,Campfire,2453029.5,25,1830,1.0,B,35.4678,-101.8214,3.0,NPS,TX,,,
2004,2453043.5,39,2100,4.0,Campfire,2453043.5,39,2230,1.0,B,35.5225,-101.7528,3.0,NPS,TX,,,
2004,2453063.5,59,1100,4.0,Campfire,2453063.5,59,1100,0.1,A,35.4678,-101.8217,3.0,NPS,TX,,,
2004,2453084.5,80,1215,4.0,Campfire,2453084.5,80,1308,0.1,A,35.5442,-101.7342,3.0,NPS,TX,,,
2004,2453117.5,113,1300,4.0,Campfire,2453117.5,113,1310,0.1,A,35.4636,-101.8372,3.0,NPS,TX,,,
2004,2453152.5,148,1930,4.0,Campfire,2453152.5,148,2100,2.0,B,35.7208,-101.5928,3.0,NPS,TX,,,
2005,2453422.5,52,1400,4.0,Campfire,2453422.5,52,1500,1.0,B,35.50646,-101.77555,3.0,NPS,TX,,,
2005,2453680.5,310,1010,4.0,Campfire,2453681.5,311,1400,0.1,A,35.4669,-101.8208,3.0,NPS,TX,,,
2005,2453687.5,317,0845,4.0,Campfire,2453687.5,317,1000,0.1,A,35.6172,-101.7578,3.0,NPS,TX,,,
2006,2453748.5,13,1500,4.0,Campfire,2453748.5,13,1600,0.1,A,35.7228,-101.6661,3.0,NPS,TX,,,
2006,2453749.5,14,1030,4.0,Campfire,2453749.5,14,1115,0.1,A,35.7228,-101.6661,3.0,NPS,TX,,,
2006,2453749.5,14,1250,4.0,Campfire,2453749.5,14,1330,0.1,A,35.7222,-101.6628,3.0,NPS,TX,,,
2006,2453756.5,21,1100,4.0,Campfire,2453756.5,21,1115,0.1,A,35.7228,-101.6661,3.0,NPS,TX,,,
2006,2453763.5,28,1030,4.0,Campfire,2453763.5,28,1045,0.1,A,35.7225,-101.6636,3.0,NPS,TX,,,
2006,2453771.5,36,1445,4.0,Campfire,2453772.5,37,1800,0.1,A,35.4656,-101.8514,3.0,NPS,TX,,,
2006,2453777.5,42,1015,4.0,Campfire,2453777.5,42,1800,0.1,A,35.7072,-101.5619,3.0,NPS,TX,,,
2006,2453792.5,57,1315,4.0,Campfire,2453792.5,57,1330,0.1,A,35.6494,-101.6325,3.0,NPS,TX,,,
2006,2453793.5,58,1000,4.0,Campfire,2453794.5,59,1800,0.1,A,35.4664,-101.8431,3.0,NPS,TX,,,
2006,2453806.5,71,1030,4.0,Campfire,2453806.5,71,1800,0.1,A,35.7272,-101.6783,3.0,NPS,TX,,,
2006,2453826.5,91,0925,4.0,Campfire,2453827.5,92,1930,0.1,A,35.7231,-101.6656,3.0,NPS,TX,,,
2006,2453827.5,92,0930,4.0,Campfire,2453827.5,92,1930,0.1,A,35.5444,-101.7344,3.0,NPS,TX,,,
2006,2453827.5,92,1130,4.0,Campfire,2453827.5,92,1930,0.1,A,35.4644,-101.8464,3.0,NPS,TX,,,
