Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2019/2020,2020-07-17 20:00:00,I2,Italy,Serie B,,Perugia,Cremonese,0,0,D,0,0,D,2.3,3.1,3.55,2.25,3.0,3.5,,,,2.25,3.1,3.3
2020,2020-07-17 16:30:00,FIN,Finland,Veikkausliiga,,Ilves,KuPS,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Sociedad,Sevilla,0,0,D,0,0,D,2.4,3.52,3.01,2.37,3.3,2.9,,,,2.4,3.4,2.95
2020,2020-07-16 19:30:00,NOR,Norway,Eliteserien,,Start,Rosenborg,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-16 17:15:00,SWZ,Switzerland,Super League,,Xamax,Sion,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-16 16:00:00,RUS,Russia,Premier League,,Rubin Kazan,FK Rostov,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-15 20:45:00,I1,Italy,Serie A,,Udinese,Lazio,0,0,D,0,0,D,3.72,3.53,2.08,3.6,3.6,1.95,,,,3.6,3.5,2.05
2019/2020,2020-07-15 19:30:00,G1,Greece,Ethniki Katigoria,,AEK,PAOK,0,0,D,0,0,D,2.19,3.35,3.3,2.25,3.3,3.2,,,,2.1,3.4,3.25
2019/2020,2020-07-15 19:30:00,AUT,Greece,Bundesliga,,Hartberg,Austria Vienna,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-15 19:30:00,POL,Poland,Ekstraklasa,,Lechia Gdansk,Legia,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-15 16:00:00,RUS,Russia,Premier League,,FK Krylya Sovetov Samara,Krasnodar,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-14 19:45:00,E1,England,Championship,D Whitestone,Sheffield Weds,Huddersfield,0,0,D,0,0,D,2.59,3.26,2.88,2.55,3.2,2.9,,,,2.5,3.2,2.8
2019/2020,2020-07-14 17:00:00,E1,England,Championship,G Eltringham,West Brom,Fulham,0,0,D,0,0,D,2.04,3.4,3.93,2.0,3.4,3.9,,,,2.0,3.3,3.7
2019/2020,2020-07-13 20:45:00,SP2,Spain,La Liga Segunda Division,,Alcorcon,Tenerife,0,0,D,0,0,D,2.93,2.83,2.9,2.75,2.87,2.87,,,,2.75,2.85,2.9
2019/2020,2020-07-13 19:00:00,P1,Portugal,Liga I,,Maritimo,Rio Ave,0,0,D,0,0,D,4.0,3.39,2.03,3.8,3.2,2.05,,,,3.75,3.25,2.0
2019/2020,2020-07-13 18:30:00,SP1,Spain,La Liga Primera Division,,Alaves,Getafe,0,0,D,0,0,D,3.69,2.9,2.39,3.5,3.0,2.25,,,,3.6,2.85,2.4
2019/2020,2020-07-12 18:30:00,I1,Italy,Serie A,,Cagliari,Lecce,0,0,D,0,0,D,1.78,3.91,4.64,1.7,4.0,4.33,,,,1.65,4.0,4.6
2019/2020,2020-07-12 17:00:00,DNK,Denmark,Superliga,,FC Copenhagen,Brondby,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-12 16:30:00,RUS,Russia,Premier League,,Orenburg,FK Rostov,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-12 13:00:00,DNK,Denmark,Superliga,,Nordsjaelland,Aalborg,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-11 17:15:00,G1,Greece,Ethniki Katigoria,,Lamia,Larisa,0,0,D,0,0,D,2.36,3.18,3.12,2.25,3.6,2.9,,,,2.3,3.1,3.1
2019/2020,2020-07-11 15:00:00,E1,England,Championship,D Robinson,Barnsley,Wigan,0,0,D,0,0,D,,,,2.5,3.4,2.8,,,,2.45,3.3,2.8
2020,2020-07-11 14:00:00,SWE,Sweden,Allsvenskan,,Hammarby,Sirius,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-11 02:00:00,USA,USA,MLS,,Seattle Sounders,San Jose Earthquakes,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-10 18:30:00,ROU,Romania,Liga 1,,FC Botosani,Astra,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-09 18:30:00,SP1,Spain,La Liga Primera Division,,Eibar,Leganes,0,0,D,0,0,D,2.51,3.1,3.19,2.45,3.0,3.1,,,,2.5,3.1,3.1
2019/2020,2020-07-09 18:00:00,E0,England,Premier League,P Tierney,Bournemouth,Tottenham,0,0,D,0,0,D,4.98,4.11,1.7,5.25,3.8,1.66,,,,5.0,4.1,1.65
2019/2020,2020-07-08 19:00:00,G1,Greece,Ethniki Katigoria,,PAOK,Panathinaikos,0,0,D,0,0,D,1.33,4.89,9.2,1.33,4.75,10.0,,,,1.4,4.33,7.5
2019/2020,2020-07-08 18:30:00,I1,Italy,Serie A,,Fiorentina,Cagliari,0,0,D,0,0,D,1.96,3.58,4.14,1.95,3.4,4.0,,,,1.91,3.6,4.0
2020,2020-07-08 16:30:00,FIN,Finland,Veikkausliiga,,Lahti,SJK,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-08 16:30:00,FIN,Finland,Veikkausliiga,,Mariehamn,Honka,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-07 18:00:00,E1,England,Championship,S Martin,Reading,Huddersfield,0,0,D,0,0,D,2.73,3.22,2.76,2.62,3.3,2.7,,,,2.6,3.2,2.7
2019/2020,2020-07-06 21:00:00,P1,Portugal,Liga I,,Moreirense,Sp Lisbon,0,0,D,0,0,D,5.14,3.55,1.79,4.33,3.5,1.83,,,,4.25,3.5,1.83
2019/2020,2020-07-06 18:30:00,SP2,Spain,La Liga Segunda Division,,Sp Gijon,Girona,0,0,D,0,0,D,2.79,2.94,3.01,2.5,3.0,3.0,,,,2.55,2.9,3.0
2019/2020,2020-07-06 18:00:00,ROU,Romania,Liga 1,,FC Voluntari,Viitorul Constanta,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-06 17:30:00,G1,Greece,Ethniki Katigoria,,Larisa,Panionios,0,0,D,0,0,D,,,,6.0,3.6,1.53,,,,6.25,3.9,1.5
2019/2020,2020-07-06 17:30:00,G1,Greece,Ethniki Katigoria,,Lamia,Xanthi,0,0,D,0,0,D,3.84,3.17,2.07,3.5,3.2,2.0,,,,3.7,3.1,2.05
2019/2020,2020-07-05 19:30:00,G1,Greece,Ethniki Katigoria,,Panathinaikos,Olympiakos,0,0,D,0,0,D,4.69,4.6,1.62,5.25,4.0,1.57,,,,4.4,4.2,1.62
2019/2020,2020-07-05 18:30:00,SP1,Spain,La Liga Primera Division,,Osasuna,Getafe,0,0,D,0,0,D,3.11,3.07,2.59,3.1,2.9,2.55,,,,3.0,3.0,2.6
2019/2020,2020-07-05 18:30:00,SP2,Spain,La Liga Segunda Division,,Malaga,Albacete,0,0,D,0,0,D,2.4,2.94,3.54,2.37,3.0,3.2,,,,2.4,2.85,3.3
2020,2020-07-05 17:00:00,NOR,Norway,Eliteserien,,Odd,Haugesund,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-05 16:30:00,T1,Turkey,Futbol Ligi 1,,Kasimpasa,Sivasspor,0,0,D,0,0,D,2.38,3.97,2.79,2.3,3.5,2.87,,,,2.35,3.6,2.7
2019/2020,2020-07-04 18:30:00,RUS,Russia,Premier League,,Lokomotiv Moscow,Sochi,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-04 16:30:00,T1,Turkey,Futbol Ligi 1,,Yeni Malatyaspor,Genclerbirligi,0,0,D,0,0,D,2.34,3.55,3.02,2.25,3.4,3.1,,,,2.25,3.4,3.0
2019/2020,2020-07-04 16:30:00,RUS,Russia,Premier League,,FK Krylya Sovetov Samara,FK Rostov,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-04 16:00:00,AUT,Greece,Bundesliga,,Tirol,Admira,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-04 15:00:00,E1,England,Championship,D Bond,Huddersfield,Preston,0,0,D,0,0,D,2.65,3.15,2.89,2.6,3.2,2.8,,,,2.55,3.0,2.9
2019/2020,2020-07-02 20:45:00,SP2,Spain,La Liga Segunda Division,,Vallecano,Malaga,0,0,D,0,0,D,2.34,3.25,3.38,2.25,3.2,3.3,,,,2.35,3.1,3.25
2020,2020-07-02 18:00:00,SWE,Sweden,Allsvenskan,,Orebro,Hacken,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-01 21:00:00,SP1,Spain,La Liga Primera Division,,Valladolid,Levante,0,0,D,0,0,D,2.45,3.33,3.16,2.3,3.3,3.2,,,,2.4,3.25,3.1
2019/2020,2020-07-01 13:00:00,RUS,Russia,Premier League,,Ufa,Rubin Kazan,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-30 20:45:00,SP2,Spain,La Liga Segunda Division,,Elche,Cadiz,0,0,D,0,0,D,2.99,2.89,2.86,2.87,2.87,2.7,,,,2.85,2.9,2.75
2019/2020,2020-06-30 18:00:00,E1,England,Championship,S Martin,Cardiff,Charlton,0,0,D,0,0,D,1.82,3.66,4.78,1.83,3.5,4.5,,,,1.8,3.5,4.4
2019/2020,2020-06-29 17:30:00,G1,Greece,Ethniki Katigoria,,Volos NFC,Lamia,0,0,D,0,0,D,2.87,2.65,3.02,2.6,3.0,2.87,,,,2.85,2.6,2.9
2019/2020,2020-06-27 19:30:00,G1,Greece,Ethniki Katigoria,,OFI Crete,Panathinaikos,0,0,D,0,0,D,2.48,3.45,2.74,2.45,3.25,2.87,,,,2.4,3.3,2.75
2019/2020,2020-06-27 17:00:00,RUS,Russia,Premier League,,Dynamo Moscow,CSKA Moscow,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-27 14:30:00,RUS,Russia,Premier League,,Spartak Moscow,Ufa,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-27 13:00:00,E1,England,Championship,J Simpson,Barnsley,Millwall,0,0,D,0,0,D,2.78,3.16,2.75,2.62,3.25,2.75,,,,2.6,3.1,2.75
2019/2020,2020-06-26 20:00:00,I2,Italy,Serie B,,Empoli,Benevento,0,0,D,0,0,D,2.98,3.25,2.58,2.9,3.25,2.4,,,,3.0,3.1,2.4
2019/2020,2020-06-26 20:00:00,I2,Italy,Serie B,,Perugia,Crotone,0,0,D,0,0,D,2.94,3.11,2.71,2.8,3.25,2.5,,,,2.8,3.1,2.55
2019/2020,2020-06-25 20:45:00,SP2,Spain,La Liga Segunda Division,,Oviedo,Fuenlabrada,0,0,D,0,0,D,2.29,2.98,3.75,2.25,2.8,3.75,,,,2.3,2.85,3.6
2019/2020,2020-06-24 20:45:00,SP2,Spain,La Liga Segunda Division,,Albacete,Las Palmas,0,0,D,0,0,D,2.82,2.88,2.95,2.55,2.8,3.1,,,,2.6,2.85,3.1
2019/2020,2020-06-24 19:30:00,POL,Poland,Ekstraklasa,,Lech Poznan,Pogon Szczecin,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-24 19:30:00,POL,Poland,Ekstraklasa,,Jagiellonia,Legia,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-23 18:30:00,SP2,Spain,La Liga Segunda Division,,Lugo,Malaga,0,0,D,0,0,D,3.38,2.88,2.58,3.2,2.87,2.5,,,,3.2,2.85,2.5
2019/2020,2020-06-23 18:00:00,E0,England,Premier League,L Mason,Leicester,Brighton,0,0,D,0,0,D,1.64,4.07,5.8,1.6,4.0,5.75,,,,1.65,3.9,5.25
2019/2020,2020-06-22 21:00:00,SP1,Spain,La Liga Primera Division,,Leganes,Granada,0,0,D,0,0,D,2.46,2.98,3.42,2.37,2.9,3.3,,,,2.4,3.0,3.3
2020,2020-06-22 18:00:00,SWE,Sweden,Allsvenskan,,Helsingborg,Elfsborg,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-21 19:00:00,E0,England,Premier League,M Dean,Everton,Liverpool,0,0,D,0,0,D,5.9,4.37,1.6,6.0,4.2,1.55,,,,5.5,4.25,1.57
2020,2020-06-21 16:30:00,SWE,Sweden,Allsvenskan,,Orebro,Ostersunds,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-20 19:30:00,I2,Italy,Serie B,,Pordenone,Venezia,0,0,D,0,0,D,1.97,3.11,4.91,1.9,3.3,4.2,,,,1.9,3.3,4.2
2019/2020,2020-06-20 17:00:00,I2,Italy,Serie B,,Trapani,Frosinone,0,0,D,0,0,D,3.19,3.0,2.61,3.1,3.1,2.37,,,,3.1,3.0,2.4
2019/2020,2020-06-20 15:00:00,E1,England,Championship,D Bond,West Brom,Birmingham,0,0,D,0,0,D,1.68,3.92,5.58,1.61,4.0,5.5,,,,1.62,3.8,5.25
2019/2020,2020-06-20 14:00:00,POL,Poland,Ekstraklasa,,Wisla Plock,Arka Gdynia,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-20 12:00:00,DNK,Denmark,Superliga,,Horsens,Randers FC,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-19 21:15:00,P1,Portugal,Liga I,,Famalicao,Sp Braga,0,0,D,0,0,D,3.56,3.66,2.06,3.75,3.3,2.0,,,,3.5,3.5,2.0
2019/2020,2020-06-19 21:00:00,SP1,Spain,La Liga Primera Division,,Sevilla,Barcelona,0,0,D,0,0,D,3.49,3.63,2.16,3.4,3.6,2.05,,,,3.3,3.7,2.1
2019/2020,2020-06-18 19:00:00,DNK,Denmark,Superliga,,Midtjylland,Brondby,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-18 17:00:00,DNK,Denmark,Superliga,,Lyngby,Silkeborg,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-17 18:30:00,SP1,Spain,La Liga Primera Division,,Valladolid,Celta,0,0,D,0,0,D,3.0,2.98,2.74,3.0,3.0,2.6,,,,3.0,3.0,2.6
2019/2020,2020-06-17 18:00:00,E0,England,Premier League,M Oliver,Aston Villa,Sheffield United,0,0,D,0,0,D,3.48,3.37,2.28,3.2,3.4,2.25,,,,3.2,3.4,2.2
2019/2020,2020-06-17 17:30:00,AUT,Greece,Bundesliga,,Wolfsberger AC,Salzburg,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-16 21:15:00,P1,Portugal,Liga I,,Aves,Porto,0,0,D,0,0,D,15.14,7.0,1.2,15.0,7.0,1.18,,,,14.5,6.25,1.19
2019/2020,2020-06-16 20:45:00,SP2,Spain,La Liga Segunda Division,,Girona,Santander,0,0,D,0,0,D,1.68,3.64,5.92,1.65,3.5,5.75,,,,1.65,3.5,5.75
2019/2020,2020-06-16 18:30:00,SP1,Spain,La Liga Primera Division,,Getafe,Espanol,0,0,D,0,0,D,2.03,3.18,4.45,1.95,3.1,4.33,,,,1.91,3.25,4.5
2019/2020,2020-06-16 17:30:00,D2,Germany,Bundesliga 2,,Greuther Furth,Heidenheim,0,0,D,0,0,D,3.16,3.73,2.2,3.3,3.4,2.15,,,,3.1,3.4,2.2
2020,2020-06-16 17:00:00,NOR,Norway,Eliteserien,,Rosenborg,Kristiansund,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-06-16 17:00:00,NOR,Norway,Eliteserien,,Stabaek,Mjondalen,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-15 20:30:00,SP2,Spain,La Liga Segunda Division,,Tenerife,Malaga,0,0,D,0,0,D,2.53,2.85,3.41,2.45,2.9,3.2,,,,2.55,2.9,3.0
2019/2020,2020-06-15 18:00:00,ROU,Romania,Liga 1,,Astra,Gaz Metan Medias,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-15 17:30:00,G1,Greece,Ethniki Katigoria,,Asteras Tripolis,Panionios,0,0,D,0,0,D,1.85,3.43,4.42,1.9,3.4,4.0,,,,1.87,3.4,4.0
2019/2020,2020-06-14 19:00:00,DNK,Denmark,Superliga,,Brondby,Aarhus,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-14 17:00:00,POL,Poland,Ekstraklasa,,Arka Gdynia,Wisla,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-14 16:00:00,SP2,Spain,La Liga Segunda Division,,La Coruna,Sp Gijon,0,0,D,0,0,D,2.85,2.79,3.02,2.6,3.0,2.9,,,,2.65,2.85,3.0
2019/2020,2020-06-13 19:30:00,G1,Greece,Ethniki Katigoria,,Panathinaikos,PAOK,0,0,D,0,0,D,3.53,3.49,2.05,3.4,3.75,2.0,,,,3.6,3.4,1.95
2019/2020,2020-06-13 18:30:00,SP2,Spain,La Liga Segunda Division,,Las Palmas,Girona,0,0,D,0,0,D,3.19,3.06,2.5,3.1,3.0,2.45,,,,3.2,2.85,2.55
2019/2020,2020-06-12 20:45:00,SP2,Spain,La Liga Segunda Division,,Oviedo,Ponferradina,0,0,D,0,0,D,2.33,2.98,3.64,2.25,3.0,3.5,,,,2.2,2.95,3.75
2019/2020,2020-06-12 17:30:00,D2,Germany,Bundesliga 2,,Sandhausen,Bielefeld,0,0,D,0,0,D,3.22,3.26,2.42,3.0,3.4,2.3,,,,3.25,3.1,2.35
2019/2020,2020-06-09 17:00:00,POL,Poland,Ekstraklasa,,Piast Gliwice,Gornik Z.,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-06-07 12:30:00,D2,Germany,Bundesliga 2,,Stuttgart,Osnabruck,0,0,D,0,0,D,1.45,4.65,7.26,1.44,4.33,7.0,,,,1.45,4.5,6.75
2019/2020,2020-06-04 19:15:00,P1,Portugal,Liga I,,Benfica,Tondela,0,0,D,0,0,D,1.14,7.91,20.99,1.16,7.0,15.0,,,,1.17,6.75,15.0
2019/2020,2020-05-30 12:00:00,D2,Germany,Bundesliga 2,,Nurnberg,Bochum,0,0,D,0,0,D,2.22,3.34,3.46,2.15,3.3,3.4,,,,2.15,3.4,3.2
2019/2020,2020-05-27 19:30:00,D1,Germany,Bundesliga 1,,Augsburg,Paderborn,0,0,D,0,0,D,1.96,3.8,3.87,1.9,3.75,3.8,,,,1.95,3.7,3.75
2019/2020,2020-05-27 17:30:00,D2,Germany,Bundesliga 2,,St Pauli,Heidenheim,0,0,D,0,0,D,2.56,3.22,2.95,2.4,3.4,2.8,,,,2.55,3.25,2.8
2019/2020,2020-05-26 19:30:00,D1,Germany,Bundesliga 1,,Werder Bremen,M'gladbach,0,0,D,0,0,D,4.56,4.12,1.77,4.33,4.0,1.72,,,,4.5,4.0,1.72
2019/2020,2020-05-24 12:30:00,D2,Germany,Bundesliga 2,,Hamburg,Bielefeld,0,0,D,0,0,D,2.18,3.45,3.44,2.05,3.4,3.5,,,,2.0,3.5,3.5
2019/2020,2020-05-24 12:30:00,D2,Germany,Bundesliga 2,,Karlsruhe,Bochum,0,0,D,0,0,D,2.55,3.42,2.81,2.37,3.5,2.8,,,,2.45,3.3,2.75
2019/2020,2020-05-23 12:00:00,D2,Germany,Bundesliga 2,,Sandhausen,Regensburg,0,0,D,0,0,D,2.3,3.53,3.1,2.25,3.4,3.2,,,,2.3,3.25,3.1
2019/2020,2020-05-16 14:30:00,D1,Germany,Bundesliga 1,,Fortuna Dusseldorf,Paderborn,0,0,D,0,0,D,2.22,3.6,3.28,2.1,3.6,3.25,,,,2.15,3.6,3.3
2019/2020,2020-03-15 16:00:00,T1,Turkey,Futbol Ligi 1,,Galatasaray,Besiktas,0,0,D,0,0,D,2.02,3.63,3.73,1.95,3.5,3.75,,,,1.9,3.6,3.8
2019/2020,2020-03-15 13:30:00,RUS,Russia,Premier League,,CSKA Moscow,Ufa,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-03-09 18:30:00,ROU,Romania,Liga 1,,Gaz Metan Medias,CFR Cluj,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-03-09 16:00:00,RUS,Russia,Premier League,,Zenit,Ufa,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-03-08 17:00:00,I1,Italy,Serie A,,Udinese,Fiorentina,0,0,D,0,0,D,2.95,3.15,2.65,2.9,3.25,2.5,,,,2.85,3.25,2.55
2019/2020,2020-03-08 15:00:00,P1,Portugal,Liga I,,Belenenses,Famalicao,0,0,D,0,0,D,2.77,3.64,2.48,2.87,3.3,2.4,,,,2.65,3.5,2.45
2019/2020,2020-03-08 11:30:00,POL,Poland,Ekstraklasa,,Rakow,Pogon Szczecin,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-03-07 20:00:00,SP1,Spain,La Liga Primera Division,,Getafe,Celta,0,0,D,0,0,D,1.85,3.31,5.23,1.85,3.3,4.75,,,,1.83,3.25,5.0
2019/2020,2020-03-07 19:00:00,B1,Belgium,Jupiler League,,Standard,St Truiden,0,0,D,0,0,D,1.35,5.2,8.87,1.36,5.0,8.5,,,,1.34,5.25,9.0
2019/2020,2020-03-07 16:00:00,AUT,Greece,Bundesliga,,Austria Vienna,St. Polten,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-03-07 15:00:00,SC1,Scotland,Division 1,S McLean,Ayr,Dundee,0,0,D,0,0,D,2.52,3.34,2.91,2.4,3.3,2.87,,,,2.3,3.2,2.75
2019/2020,2020-03-07 15:00:00,EC,England,Conference,D Bourne,Fylde,Solihull,0,0,D,0,0,D,2.52,3.35,2.86,2.37,3.4,2.9,,,,2.35,3.3,2.75
2019/2020,2020-03-07 15:00:00,E2,England,League 1,M Edwards,AFC Wimbledon,Bolton,0,0,D,0,0,D,2.14,3.73,3.28,2.05,3.6,3.4,,,,2.1,3.5,3.25
2019/2020,2020-03-07 15:00:00,EC,England,Conference,L Smith,Wrexham,Eastleigh,0,0,D,0,0,D,2.09,3.34,3.72,2.0,3.5,3.6,,,,2.0,3.25,3.5
2019/2020,2020-03-07 15:00:00,SC3,Scotland,Division 3,S Luke,Annan Athletic,Cowdenbeath,0,0,D,0,0,D,2.49,3.64,2.7,2.37,3.75,2.62,,,,2.35,3.5,2.5
2019/2020,2020-03-07 15:00:00,E2,England,League 1,J Busby,Fleetwood Town,Blackpool,0,0,D,0,0,D,1.83,3.88,4.24,1.83,3.6,4.33,,,,1.85,3.6,4.0
2019/2020,2020-03-07 15:00:00,E0,England,Premier League,A Marriner,Wolves,Brighton,0,0,D,0,0,D,1.66,4.08,5.47,1.61,3.9,5.75,,,,1.65,3.9,5.25
2019/2020,2020-03-07 15:00:00,E1,England,Championship,R Jones,Swansea,West Brom,0,0,D,0,0,D,3.53,3.58,2.12,3.5,3.5,2.1,,,,3.6,3.4,2.1
2019/2020,2020-03-07 15:00:00,E1,England,Championship,G Ward,Wigan,Luton,0,0,D,0,0,D,1.77,3.79,4.89,1.7,3.8,5.0,,,,1.72,3.75,5.0
2019/2020,2020-03-07 15:00:00,E3,England,League 2,S Duncan,Cheltenham,Port Vale,0,0,D,0,0,D,1.93,3.46,4.37,1.9,3.3,4.5,,,,1.87,3.5,4.0
2019/2020,2020-03-07 15:00:00,SC3,Scotland,Division 3,L Wilson,Stenhousemuir,Queens Park,0,0,D,0,0,D,2.84,3.84,2.31,2.87,3.75,2.25,,,,2.5,3.4,2.4
