groupName,groupYear
davy&#39;s ride,1987
hot rap,1987
deep cut,1987
got to be tough,1987
brooklyn sessions demos,1987
what&#39;s my name,1987
move: the rhythm kingdom,1987
the adventures of schoolly d,1987
just somethin to do,1987
i want her,1987
phanjam,1987
give it all you got (doggy style),1987
criminal,1987
panic zone,1987
sing a song,1987
boogie on broadway - best of fourth and broadway volume one,1987
greatest hits of the street (rappin&#39; and scratchin&#39;),1987
planet jumper,1987
memory of a man and his music,1987
jealous fella&#39;s,1987
naughty girls (need love too) / i surrender (to the spirit of the night),1987
let&#39;s get it started,1987
cru&#39; in action!,1987
street sounds hip hop 17,1987
players,1987
christmas in hollis,1987
heroes,1987
head to toe,1987
parkside 5-2,1987
hairdooz bw crack killed applejack,1987
wide open,1987
hit mix,1987
nobody beats the biz,1987
the best of the world class wreckin&#39;,1987
you&#39;re gonna get yours,1987
no 1/2 steppin&#39;,1987
1987 (what the fuck is going on?),1987
tramp (remix) / push it,1987
4 -when the world was young-,1987
the beat kicks,1987
you ain&#39;t nothing / i run this,1987
car freak,1987
club 45 (keeps you movin&#39;),1987
it takes a nation of millions to hold us back,1988
the great adventures of slick rick,1988
straight out the jungle,1988
by all means necessary,1988
strictly business,1988
power,1988
follow the leader,1988
straight outta compton,1988
troopers,1988
jenifa (taught me)- potholes on my lawn,1988
critical beatdown,1988
strictly business,1988
you gots to chill,1988
goin&#39; off,1988
2 hype,1988
"in control, volume 1",1988
the light,1988
eazy-duz-it,1988
who?,1988
act a fool,1988
let&#39;s get it started,1988
ease back / kool keith housing things,1988
smoke some kill,1988
ain&#39;t no half steppin&#39;/get int,1988
long live the kane,1988
paper chase,1988
to the batmobile let&#39;s go,1988
supersonic/freak city,1988
swass,1988
harder than you,1988
"he&#39;s the dj, i&#39;m the rapper",1988
ain&#39;t no half steppin&#39;,1988
i&#39;ll take you there,1988
set it off,1988
in full gear,1988
life is...too short,1988
banned ep,1988
tougher than leather,1988
night of the living baseheads,1988
straight from the basement of kooley high!,1988
running thangs,1988
it takes two,1988
spike lee&#39;s school daze,1988
lyte as a rock,1988
grab it!,1988
supersonic,1988
making trouble,1988
man &amp; his music,1988
blowfly for president,1988
"mary, mary",1988
the world&#39;s greatest entertainer,1988
raggamuffin hip hop,1988
def before dishonor,1988
chubb rock,1988
danger zone,1988
girls i got &#39;em locked,1988
wild thing,1988
it takes two/ get on the dancefloor,1988
push it,1988
don&#39;t rock the boat,1988
megablast / don&#39;t make me wait,1988
megablast rap,1988
"beats, breaks &amp; scratches volume 2",1988
"beats, breaks &amp; scratches volume 1",1988
talkin&#39; all that jazz,1988
what more can i say?,1988
in full effect,1988
heat it up,1988
unity,1988
guy,1988
time machine,1988
where&#39;s the party at?,1988
eden alley,1988
back by popular demand,1988
because i got it like that,1988
buffalo stance,1988
tuffest man alive,1988
just got paid,1988
sgt. pepper knew my father,1988
original stylin&#39;,1988
colors,1988
what time is it? it&#39;s gucci time,1988
good groove,1988
dynamite,1988
the beatnigs,1988
i ain&#39;t trippin,1988
coming back hard again,1988
i wanna have some fun,1988
old night at studio 54,1988
don&#39;t scandalize mine b/w ready to penetrate,1988
let the hustlers play,1988
the payback mix part one,1988
rhyme syndicate comin&#39; through,1988
rok da house,1988
it takes two,1988
dj&#39;s and mc&#39;s / supercuts (yeah boy),1988
going back to cali,1988
"the beat, the rhyme, the noise",1988
give it all to me,1988
on the strength,1988
a salt with a deadly pepa,1988
don&#39;t believe the hype,1988
hard as hell - the best of hardcore rap,1988
"maxi power, volume 1",1988
friends and countrymen,1988
tall dark &amp; handsome,1988
paul&#39;s boutique demos,1988
die hard,1988
doin&#39; damage,1988
skinny (they can&#39;t get enough),1988
deffest! and baddest!,1988
pure righteousness,1988
let&#39;s play it cool,1988
filthy,1988
born to be wild,1988
jack of spades / i&#39;m still #1,1988
i got a good thang / urban sound surgeon,1988
hold no hostage / doomsday of rap,1988
the twist,1988
the r,1988
da butt 12&quot; single mixes,1988
the vigilante,1988
den nye stil,1988
comin&#39; correct in 88,1988
my dj (pump it up some),1988
other 99,1988
street sounds hip hop 20,1988
soulmate,1988
run&#39;s house,1988
mega-mix,1988
i can do this,1988
shake it (remix),1988
coolin&#39; in cali,1988
follow the leader,1988
ragamuffin hip-hop,1988
bad young brother,1988
the first priority music family:basement flavor,1988
top billin,1988
x-men,1988
i&rsquo;m your pusher,1988
parents just don&#39;t understand,1988
don&#39;t be cruel,1988
rock this planet,1988
in effect,1988
u got ganked,1988
88 boom n bass,1988
our time has come!,1988
the enjoy! story: rap&#39;s greatest hits from the birth of the zulu nation,1988
hot mix 1,1988
it&#39;s tee time,1988
the hits of house are here,1988
supersonic,1988
"mary, mary (oh mary please!)",1988
41fivin,1988
escape from new york,1988
loc&#39;ed after dark / wild thing,1988
killing me softly,1988
the b-boy sampler,1988
today,1988
shake your thang / spinderella&#39;s not a fella,1988
i need you,1988
this is sparky-d&#39;s world,1988
soul sisters,1988
young gifted and black,1988
bullet from a gun,1988
sleeping bag&#39;s greatest mixers iii,1988
wee rule,1988
kisses on the wind,1988
dance &#39;88 volume 1,1988
dance &#39;88 volume 2,1988
jovanotti for president,1988
a nightmare on my street,1988
respect,1988
i got it goin&#39; on,1988
teenage love,1988
serious slammin&#39;,1988
uh oh,1988
i pioneered this,1988
mercedes boy,1988
cars with the boom,1988
plug tunin&#39; / freedom of speak,1988
na touch da just,1988
girl you know it&#39;s true,1988
express yourself,1988
if it isn&#39;t love,1988
now rap&#39;s what i call music!,1988
out to lunch with ahead of our time,1988
how low can you go,1988
hip hop and house beats - jingles specially for d.j&#39;s vol. 9,1988
street sounds hip hop 20,1988
street sounds hip hop 21,1988
street sounds hip hop 22,1988
winter warnerland,1988
krush on you,1988
maxi summer hits,1988
mixx it 22,1988
girl don&#39;t cry,1988
i&#39;m your playmate,1988
pump up the volume - best of fourth and broadway volume two,1988
the real roxanne,1988
funkytown iii,1988
soulbeat 3,1988
soulbeat 4,1988
nuclear war,1988
baddest beats around / filthy,1988
shake the joint,1988
be down,1988
around the bay,1988
culture shock,1988
precision - hardcore,1988
the biz never sleeps,1989
unfinished business,1989
the best of enjoy! records,1989
dj magic mike and the royal posse,1989
youngest in charge,1989
no more mr. nice guy,1989
stone cold rhymin&#39;,1989
paul&#39;s boutique,1989
a shade of red,1989
the devil made me do it,1989
it&#39;s a big daddy thing,1989
walking with a panther,1989
the cactus album,1989
pump up the jam,1989
the magic number/buddy,1989
bust a move,1989
road to the riches,1989
done by the forces of nature,1989
l&#333;c-ed after dark,1989
say no go,1989
no one can do it better,1989
black cat,1989
keep on movin&#39;,1989
3 feet high and rising,1989
raw like sushi,1989
as nasty as they wanna be,1989
the iceberg:  freedom of speech... just watch what you say,1989
music to be murdered by,1989
word power,1989
2-4-the bass,1989
&quot;d&quot; rules the nation,1989
it&#39;s funky enough,1989
mental floss for the globe,1989
me and joe,1989
smooth operator,1989
doowutchyalike,1989
on and on,1989
positivity,1989
fight the power,1989
words i manifest,1989
manifest,1989
here&#39;s the proof,1989
drop that bottom,1989
brother arab,1989
brand nubian,1989
la mia moto,1989
the gas face,1989
hell with the lid off,1989
eyes on this,1989
ghetto music: the blueprint of hip hop,1989
demo,1989
all hail the queen,1989
michel&#39;le,1989
knowledge is king,1989
nice &amp; smooth,1989
freddie foxxx is here,1989
truth is out of style,1989
standing in the spotlight,1989
symphony in effect,1989
controversy,1989
welcome to the terrordome,1989
grip it! on that other level,1989
dc talk,1989
old and new jams,1989
and in this corner...,1989
how much can you take,1989
crazy noise,1989
love will never do (without you),1989
boomin words from hell,1989
don&#39;t do it,1989
just keep rockin&#39;,1989
got to have your love,1989
back to life (however do you want me),1989
the badman is robbin&#39;,1989
give the drummer some,1989
born this way (let&rsquo;s dance),1989
come on &amp; get some,1989
got to keep on,1989
eye know,1989
move your body,1989
ho&#263;emo gusle!,1989
back to wreck shop,1989
ghostbusters,1989
ride the rhythm,1989
tyrees got a brand new house!,1989
seminar,1989
terminal city ricochet,1989
the kingpin,1989
demos and outtakes,1989
white lines (don&#39;t do it) (ben liebrand freestyle remix),1989
do what you want / take me away,1989
respect,1989
dance classics - the remixes volume 2,1989
the bass that ate miami,1989
paul&#39;s boutique instrumentals,1989
the young son of no one,1989
am i black enough for you?,1989
bass!,1989
born this way,1989
escape from havana,1989
we&#39;re in this together,1989
get a life,1989
love american style ep,1989
nothing matters without love,1989
big tyme,1989
the incredible base,1989
children&#39;s story,1989
alright,1989
freedom express,1989
your mom&#39;s in my business,1989
sleep talk,1989
she&#39;s got a big posse,1989
dope on plastic,1989
a bit of..,1989
real love,1989
just a poet with soul,1989
the boy genius,1989
everybody wants some,1989
the humpty dance,1989
raw,1989
the desolate one,1989
your slippin,1989
do the right thing,1989
something to get you hyped,1989
yo! mtv raps: the cd,1989
jockin&#39; robin,1989
funky cold medina,1989
j-boys,1989
"what is it, yo?!",1989
20 seconds to comply,1989
wrecks-n-effect,1989
me myself and i,1989
"mr. magic&#39;s rap attack, volume 5",1989
we want eazy (remix),1989
let it be known,1989
twin hype,1989
black to the future,1989
deeper shade of soul,1989
the d.o.c. &amp; the doctor,1989
it&#39;s on you,1989
bad sister,1989
live on stage,1989
recognition,1989
don&#39;t push it,1989
street tuff,1989
bring forth the guillotine (the ben chapman mixes),1989
"an exciting evening at home with shadrach, meshach and abednego",1989
do the right thing,1989
rap attak: 16 slices of seriously solid sounds,1989
(you&#39;re my one and only) true love,1989
rapper&#39;s delight,1989
a blitz of salt-n-pepa hits: the hits remixed,1989
black steel in the hour of chaos,1989
silent assassin,1989
on our own,1989
cold chillin&#39; in the studio live,1989
xl,1989
the formula,1989
coldcut&#39;s christmas break,1989
c ya,1989
pure dynamite / axe-maniac,1989
p&auml;&auml;kk&ouml;set,1989
my love is so raw,1989
heed the word of the brother / raise the flag,1989
we got our own thang,1989
large and in charge,1989
arh d&eacute;r!,1989
you can&#39;t hold me back,1989
and the winner is...,1989
&pound;10 to get in (remix),1989
manchild,1989
who&#39;s in the house,1989
that&#39;s how i&#39;m living / the chief,1989
turn it out (go base),1989
description of a fool,1989
together / letter to the better,1989
miki howard,1989
pergunte a quem conhece,1989
flame,1989
loud and clear,1989
get into it,1989
stop the world,1989
clean and sober 12&#39;,1989
diamonds in the raw,1989
i gotta habit,1989
fight for your right,1989
independent leaders,1989
"it isn&#39;t, it wasn&#39;t, it ain&#39;t never gonna be",1989
doin&rsquo; it!,1989
funkymix 1,1989
funkymix 2,1989
funkymix 3,1989
spring again,1989
pump it hottie,1989
break the grip of shame,1989
principal&#39;s office,1989
self destruction,1989
rappin&#39; madrid,1989
drumdrops vol. 1 (essential break beats &amp; loops),1989
why is that?,1989
who&#39;s the boss,1989
word to the jaz,1989
demo tape,1989
jam,1989
professor x (saga),1989
may we introduce (me so horny),1989
mess/age,1989
put your hands together,1989
funky dividends,1989
going steady,1989
juicy,1989
do your dance (work it out),1989
mother goose,1989
joy and pain (remix),1989
comin&#39; thru like warriors,1989
i can make you dance,1989
won&#39;t talk about it / blame it on the bassline,1989
for spacious lies,1989
madrid hip-hop,1989
i can do that / let it go,1989
def jam classics - volume i,1989
segundo asalto,1989
deep heat &#39;89 - fight the flame,1989
black to the future,1989
organised rhyme,1989
the mic stalker,1989
rapmasters 9: the best of hardcore,1989
coming out large,1989
we want some pussy / miami bass,1989
hooked,1989
slang teacher,1989
into the future,1989
positively black,1989
masters of the rhythm,1989
diva,1989
in flightt,1989
i wanna be rich,1989
going steady,1989
glamorous life,1989
puss n&rsquo; boots / these boots are made for walkin&rsquo;,1989
hotsound megamix vol. 3,1989
the best of italo dance vol. 14,1989
the greatest hits,1989
ragga hip hop volume 1,1989
tbm mix 3,1989
for those who like to groove / do it to the crowd,1989
rap traxx,1989
rap traxx 2,1989
house attack,1989
a shade of red,1989
k-9 posse,1989
tanzbar vol. 2,1989
march 89 - mixes 2,1989
juice crew law / they used to do it in the park,1989
expression / clubhouse,1989
twenty pounds to get in,1989
something to dance to,1989
no prisoners,1989
it&#39;s no crime,1989
project x,1989
i&#39;m that type of guy,1989
the rap sound of chicago - rap trax #1 compilation,1989
whole wide world,1989
we got the jazz,1989
x-men vs. professor x,1989
hair or weave,1989
just a friend,1989
crazy,1989
soulbeat 6,1989
crucial,1989
sexual healing rap,1989
now rap&#39;s what i call music! volume 2,1989
get into it,1989
sex in the house / sex in the hood,1989
to hell and back,1989
mind blowin&#39; (remix),1989
the hits album 89,1989
sister rosa,1989
i&#39;m housin&#39; / get off the bandwagon,1989
on fire / funky cold medina,1989
hot &amp; phat,1989
the lyrical midget,1989
break the grip of shame,1989
get on the dance floor,1989
space beat,1989
computer rock,1989
inna city mamma,1989
turntable aktion,1989
return to planet rock (the second coming),1989
hard to beat,1989
hollywood affair - the lost kim basinger album,1989
don&#39;t stop the rock,1989
cut it up def,1989
no joke,1989
mixx it 31,1989
def jam recordings classics vol. 1,1989
comin&#39; thru like warriors,1989
to the extreme,1990
poison,1990
people&#39;s instinctive travels and the paths of rhythm,1990
unbelievable,1990
the geto boys,1990
business as usual,1990
mama said knock you out,1990
best of... rappin&#39;,1990
it&#39;s a compton thang,1990
let the rhythm hit &#39;em,1990
100 miles and runnin&#39;,1990
the simpsons sing the blues,1990
gonna make you sweat,1990
amerikkka&#39;s most wanted,1990
wanted: dead or alive,1990
hispanic causing panic,1990
sex packets,1990
bass is the name of the game,1990
grits sandwiches for breakfast,1990
please hammer don&#39;t hurt &#39;em,1990
call me d-nice,1990
"to the east, blackwards",1990
banned in the u.s.a.,1990
doin&#39; our own dang,1990
fear of a black planet,1990
nu thang,1990
pray,1990
blacks&#39; magic,1990
edutainment,1990
kill at will,1990
hello afrika: the album,1990
pretty woman,1990
back from hell,1990
looking at the front door,1990
911 is a joke,1990
jazz thing,1990
giovani jovanotti,1990
can i kick it?,1990
take a look around,1990
livin&#39; like hustlers,1990
one for all,1990
tom&#39;s diner,1990
livin&#39; in a hoe house,1990
the dogs,1990
down to earth,1990
mr flamboyant ep,1990
taste of chocolate,1990
at your own risk,1990
legal,1990
pawns in the game,1990
people&#39;s instinctive remixes,1990
killer album,1990
ludwig fun,1990
short dog&#39;s in the house,1990
gangster chronicle,1990
funhouse,1990
some like it cold,1990
forever everlasting,1990
do the bartman,1990
u can&#39;t touch this,1990
dick tracy,1990
the real rock,1990
trip on this! the remixes,1990
get busy,1990
funky technician,1990
ice ice baby,1990
no coke,1990
get up! (before the night is over),1990
chain,1990
ain&#39;t no shame in my game,1990
back by dope demand,1990
holy intellect,1990
world power,1990
titiyo,1990
rapattitude,1990
greatest hits,1990
house party,1990
gettin&#39; crazy,1990
treat &#39;em right,1990
tell the world my name,1990
come back to me (the remixes),1990
gold digger,1990
can&#39;t do nuttin&#39; for ya man,1990
live in concert,1990
superfly 1990,1990
knockin&#39; boots,1990
intelligent hoodlum,1990
homey don&#39;t play!,1990
the emperor&#39;s new clothes,1990
erotic poetry,1990
father&#39;s day,1990
hip hop greats,1990
who&#39;s the mack,1990
i left my wallet in el segundo,1990
sucker dj,1990
elevate my mind,1990
the ghetto,1990
new funky nation,1990
my definition of a boombastic jazz style,1990
rollin&rsquo; with number one,1990
i don&#39;t care: the album,1990
bust a rap,1990
bass planet paranoia,1990
no kid,1990
brown &amp; proud,1990
a day in the life: a pokadelick adventure,1990
armed &amp; dangerous,1990
you can&#39;t do me none,1990
we&#39;re all in the same gang,1990
poison,1990
brothers gonna work it out,1990
1 steg bak &aring; 2 steg fram,1990
to hell and black,1990
power of a woman,1990
biscuit&#39;s in the house,1990
the cactus revisited,1990
i can handle it,1990
royal jelly,1990
burnin&#39; at 20 below,1990
take a rest,1990
ralph tresvant,1990
righteous but ruthless,1990
"best of house music, vol. 3: house music all night long",1990
changing the scenery,1990
(what will we do to become) famous and dandy just like amos &amp; andy,1990
ivory,1990
supernatural,1990
mentirosa,1990
bonita applebum,1990
it&#39;s gonna be alright,1990
not just a fad,1990
come into my house (the richie rich mix),1990
giving you the benefit,1990
it&#39;s a shame (my sister),1990
freaks of the industry,1990
cooked the remix album,1990
dick tracy,1990
ballad of a menace,1990
won&#39;t talk about it,1990
freedom to party 1 - the first legal rave,1990
sensitivity,1990
better world,1990
stinky grooves,1990
back to reality,1990
get into it,1990
intelligence and violence,1990
force field,1990
pernicious nonsense,1990
kickin&#39; afrolistics,1990
one voice: pride,1990
masterpiece,1990
life in the ghetto,1990
this should move ya,1990
kick that thang,1990
hear the drummer (get wicked),1990
wiggle it,1990
rebel music,1990
barsha&#39;s explicit lyrics,1990
no enemies,1990
le monde de demain,1990
negu gorriak,1990
droppin&#39; it,1990
my docs,1990
the boomin&#39; system,1990
def jam classics - volume ii,1990
treat em right / ya bad chubbs,1990
tic tac toe,1990
love&#39;s gonna get&#39;cha (material love),1990
just to get a rep / who&#39;s gonna take the weight?,1990
mama gave birth to the soul children,1990
moe!,1990
the blues 12&quot; single,1990
better world,1990
back to basix,1990
i know you got soul,1990
must be the music,1990
the power,1990
listen up,1990
monie in the middle,1990
as kosher as they wanna be,1990
hey! hey! can u relate?,1990
"play it again, shan",1990
bonita applebum / mr. muhammed,1990
back to the lab,1990
crazy,1990
kickin&#39; afrolistics,1990
wake your daughter up,1990
geek&#39;s revenge,1990
warrior,1990
let the rhythm hit &#39;em - the blacksmith remix,1990
alf&#39;s super hitparade,1990
smooth assassin,1990
holocausto urbano,1990
i come off,1990
move the crowd / paid in full,1990
move your body - the final dance collection vol. 1,1990
let&#39;s side,1990
loud &#39;n&#39; clear,1990
dance before the police come!,1990
g4,1990
wild &amp; loose,1990
play that funky music,1990
christmas rap music,1990
at your own risk,1990
the negro&#39;s back,1990
around the way girl,1990
movement ex,1990
it ain&#39;t where ya from...it&#39;s where ya at,1990
it&#39;s hard being the kane,1990
deep heat 7 - seventh heaven,1990
deep heat 9 - ninth life - kiss the bliss,1990
listen to the basstone,1990
urban dance squad - hollywood and pinkpop live,1990
the music ain&#39;t loud enuff,1990
to your soul,1990
2 low life muthas,1990
rub you the right way ,1990
we&#39;re all in the same gang,1990
"sex, drugs + violence",1990
all for one,1990
raw 91,1990
maxi hit sensation - doppel-dosis maxi power,1990
something new,1990
let&#39;s get it on!,1990
buckwheat the rebel,1990
milira,1990
manchester: so much to answer for,1990
rave-mixx 1,1990
vocal full contact,1990
peachfuzz / gasface refill,1990
jive&#39;s greatest rap singles,1990
banned in the u.s.a.,1990
here comes the hammer,1990
the lost tribe of shabazz,1990
do me!,1990
down to earth / don&#39;t funk wid the mo,1990
rebel soul,1990
the north at its heights,1990
the only rhyme that bites,1990
primary rhyming,1990
can you feel it,1990
i thought it was me,1990
knocking off all weak mcs,1990
what it is,1990
doin&rsquo; the mud foot,1990
three the hard way,1990
return of superfly,1990
starting from zero,1990
nettwerk sound sampler vol. iii,1990
can u feel it? - the champion legend,1990
my afro&#39;s on fire,1990
what &quot;u&quot; waitin&#39; &quot;4&quot;?,1990
romeo,1990
the flavor unit,1990
go for it! (heart and fire),1990
live the life,1990
don&#39;t test,1990
la raza,1990
lies,1990
tunes splits the atom,1990
wash your face in my sink,1990
