tag,groupName
electro,it&#39;s a beat wave
funk,it&#39;s a beat wave
1980s,whodini
electronic,whodini
jive.records,whodini
new.york,whodini
united.states,whodini
rock,duck rock
world.music,duck rock
break.machine,street dance
electronic,street dance
rhythm.and.blues,juicy fruit (vls)
soul,juicy fruit (vls)
electronic,future shock
funk,future shock
jazz,future shock
1980s,d&#39;ya like scratchin&#39;
electronic,king of the beat
breakdance,lost in space
eboogie,lost in space
electro,lost in space
electrofunk,lost in space
electronic,lost in space
funk,whip it
1980s,cooky puss
punk,cooky puss
reggae,cooky puss
1980s,two sisters lp
breaks,two sisters lp
electronic,two sisters lp
breaks,wild style
new.york,wild style
1980s,looking for the perfect beat
breaks,looking for the perfect beat
dance,looking for the perfect beat
electro,looking for the perfect beat
electronic,looking for the perfect beat
freestyle,looking for the perfect beat
techno,looking for the perfect beat
1980s,death mix
breaks,death mix
1980s,planet patrol
breakdance,planet patrol
dance,planet patrol
electro,planet patrol
electrofunk,planet patrol
electronic,planet patrol
1980s,when i hear music
breaks,when i hear music
dance,when i hear music
electro,when i hear music
electronic,when i hear music
freestyle,when i hear music
miami,when i hear music
miami.bass,when i hear music
new.york,when i hear music
techno,when i hear music
funk,do you wanna dance
jazz,do you wanna dance
soul,do you wanna dance
electro,arkade funk
electronic,arkade funk
funk,arkade funk
go.go,arkade funk
soul,arkade funk
washington.dc,arkade funk
electro,search and destroy
electronic,search and destroy
funk,search and destroy
go.go,search and destroy
soul,search and destroy
washington.dc,search and destroy
bronx,grandmaster flash &amp; the furious five
electronic,grandmaster flash &amp; the furious five
new.york,grandmaster flash &amp; the furious five
1980s,soweto
electronic,soweto
synth.pop,soweto
world.music,soweto
1980s,get on up
disco,get on up
electronic,get on up
funk,get on up
soul,get on up
1980s,b-boy (oh-la-oh)
disco,b-boy (oh-la-oh)
funk,b-boy (oh-la-oh)
soul,b-boy (oh-la-oh)
1980s,don&#39;t stop rappin&#39;
disco,to be or not to be (the hitler rap)
funk,to be or not to be (the hitler rap)
soul,to be or not to be (the hitler rap)
breaks,tour de france
electro,tour de france
electronic,tour de france
1980s,the best rapper on the scene
1980s,the sequence party
funk,the sequence party
rhythm.and.blues,the sequence party
1980s,bubble up
disco,bubble up
1980s,electro 2
breakdance,electro 2
breaks,electro 2
electro,electro 2
electro.funk,electro 2
street.sounds,electro 2
electro,wildstyle
1980s,spacey lady
disco,spacey lady
funk,spacey lady
pop,spacey lady
rhythm.and.blues,spacey lady
soul,spacey lady
1980s,renegades of funk
electronic,renegades of funk
1980s,white lines (don&#39;t don&#39;t do it)
disco,the crown
funk,the crown
1980s,in the 80&#39;s
funk,in the 80&#39;s
1980s,it&#39;s like that / sucker m.c.&#39;s
electronic,it&#39;s like that / sucker m.c.&#39;s
1980s,white lines (don&#39;t do it) / message ii (survival)
roots,white lines (don&#39;t do it) / message ii (survival)
1980s,radio activity
electro,radio activity
electro,double dutch
electronic,double dutch
1980s,streetsounds electro 1
electro,streetsounds electro 1
1980s,streetsounds electro 2
electro,streetsounds electro 2
1980s,play that beat mr. d.j.
electro,the party scene
electronic,the party scene
1980s,problems of the world
1980s,project 5
electro,project 5
1980s,the return of capt. rock
electro,the return of capt. rock
1980s,feel the force
electro,feel the force
electronic,rap attack ii
electro,electric kingdom
1980s,mr. t&#39;s commandments
pop,mr. t&#39;s commandments
psychedelic,mr. t&#39;s commandments
rhythm.and.blues,mr. t&#39;s commandments
1980s,escape
new.york,escape
united.states,escape
1980s,run-d.m.c.
new.york,run-d.m.c.
1980s,jam on it
dance,jam on it
electro,jam on it
electronic,jam on it
new.york,ego trip
1980s,scratchin&#39;
electronic,scratchin&#39;
1980s,break dance party
break.dance,break dance party
breakbeat,break dance party
electronic,break dance party
1980s,we come to rock
electro,we come to rock
breakdance,automan / where&#39;s the beat
dance,automan / where&#39;s the beat
electronic,automan / where&#39;s the beat
1980s,fat boys
new.york,fat boys
funk,beat street
electronic,here comes that beat!
1980s,we&#39;re rocking the planet
breaks,we&#39;re rocking the planet
electro,we&#39;re rocking the planet
electro.funk,we&#39;re rocking the planet
electrofunk,we&#39;re rocking the planet
electronic,we&#39;re rocking the planet
1980s,request line / the roof is on fire (12 inch)
electro,request line / the roof is on fire (12 inch)
funk,friends / five minutes of funk
new.york,friends / five minutes of funk
united.states,friends / five minutes of funk
1980s,breakin&#39; original motion picture soundtrack 
breakdance,breakin&#39; original motion picture soundtrack 
electronic,breakin&#39; original motion picture soundtrack 
freestyle,breakin&#39; original motion picture soundtrack 
1980s,on the nile
breaks,on the nile
electro,on the nile
electronic,on the nile
new.york,freaks come out at night
united.states,freaks come out at night
1980s,d&egrave;gout
serbian,d&egrave;gout
yugoslavian,d&egrave;gout
1980s,jam on revenge
electro,jam on revenge
electronic,jam on revenge
1980s,breakin&#39; 2 electric boogaloo
1980s,mr. t&#39;s commandment
electronic,world destruction
1980s,ready for battle
electronic,ready for battle
new.york,ready for battle
disco,jack it up
electro,jack it up
electronic,jack it up
funk,jack it up
rare.groove,jack it up
soul,jack it up
1980s,"egypt, egypt"
electro,"egypt, egypt"
uncle.jamms.army,"egypt, egypt"
west.coast,"egypt, egypt"
electro,the dmx will rock
1980s,unity
electro,unity
funk,unity
1980s,starchild
dance,starchild
electronic,starchild
freestyle,starchild
funk,starchild
latin,starchild
pop,starchild
rhythm.and.blues,starchild
soul,starchild
1980s,can&#39;t afford
electronic,can&#39;t afford
funk,can&#39;t afford
pop,can&#39;t afford
synth.pop,can&#39;t afford
united.kingdom,can&#39;t afford
1980s,greatest messages
dance,greatest messages
funk,greatest messages
1980s,electro 3
breakdance,electro 3
electro,electro 3
electro.funk,electro 3
electronic,electro 3
1980s,"dial-a-freak  / yes, yes, yes"
electro,"dial-a-freak  / yes, yes, yes"
west.coast,"dial-a-freak  / yes, yes, yes"
1980s,what people do for money
electro,what people do for money
1980s,can you feel it
brooklyn,can you feel it
new.york,can you feel it
1980s,breakdance fever
breakbeat,breakdance fever
electro,breakdance fever
electro,frantic situation
disco,hip hop the original and the best
electro,hip hop the original and the best
electronic,hip hop the original and the best
synthpop1980s,hip hop the original and the best
1980s,essential electro - the business
electro,essential electro - the business
funk,step off
1980s,electro 6
electro,electro 6
1980s,electro 5
electro,electro 5
electro,808 beats (eight hundred and eight beats)
electronic,808 beats (eight hundred and eight beats)
1980s,electric breakdance
breaks,electric breakdance
dance,electric breakdance
electro,electric breakdance
1980s,reckless / tebitan jam
electro,reckless / tebitan jam
electro,street sounds uk electro
electronic,street sounds uk electro
electronic,street symphony
electro,she&#39;s fresh
electronic,she&#39;s fresh
world.music,she&#39;s fresh
1980s,uprock
electro,uprock
electronic,uprock
electro,breakdance
funk,doriella du fontaine
rock,doriella du fontaine
1980s,siberian nights
electro,siberian nights
vocoder,siberian nights
1980s,grandmaster melle mel &amp; the furious five
1980s,keep on tryin&#39;
disco,keep on tryin&#39;
funk,keep on tryin&#39;
electro,b boys breakdance
electronic,b boys breakdance
1980s,our vision of a man
1980s,streetsounds electro 3
electro,streetsounds electro 3
1980s,streetsounds electro 4
electro,streetsounds electro 4
1980s,paname city rappin&#39;
french,paname city rappin&#39;
funk,paname city rappin&#39;
world.music,paname city rappin&#39;
1980s,cold cash $ money
1980s,breakdown new york style
electro,breakdown new york style
1980s,rap 1
1980s,5 minutes
electro,5 minutes
electro,twilight 22
electronic,twilight 22
funk.soul,twilight 22
1980s,cosmic blast
electro,cosmic blast
1980s,dynamic (total control)
electro,dynamic (total control)
1980s,capt. rock to the future shock
electro,capt. rock to the future shock
1980s,reckless / tibetan jam
electro,reckless / tibetan jam
1980s,einstein
electro,einstein
1980s,raiders of the lost groove
electro,raiders of the lost groove
1980s,don&#39;t let &#39;em drop the bomb
electro,don&#39;t let &#39;em drop the bomb
1980s,beef box
electro,beef box
1980s,boogie down (bronx)
electro,boogie down (bronx)
1980s,radio
new.york,radio
1980s,the album
a.cappella,the album
electro,the album
electronic,the album
instrumental,the album
electronic,"alice, i want you just for me!"
maxi.single,"alice, i want you just for me!"
old.school.rap,"alice, i want you just for me!"
rhythm.and.blues,"alice, i want you just for me!"
1980s,space is the place
breakbeat,space is the place
electro,space is the place
electronic,space is the place
funk,rock hard
rock,rock hard
new.york,the fat boys are back
turntablism,lessons 1 - 3
cult,the roof is on fire (12&quot;)
1980s,beware (the funk is everywhere)
electro,beware (the funk is everywhere)
electronic,beware (the funk is everywhere)
1980s,it&#39;s automatic / don&#39;t stop the rock
dance,it&#39;s automatic / don&#39;t stop the rock
electronic,it&#39;s automatic / don&#39;t stop the rock
freestyle,it&#39;s automatic / don&#39;t stop the rock
miami,it&#39;s automatic / don&#39;t stop the rock
miami.bass,it&#39;s automatic / don&#39;t stop the rock
1980s,they said it couldn&#39;t be done
new.york,they said it couldn&#39;t be done
1980s,dedication
1980s,u.t.f.o.
new.york,u.t.f.o.
1980s,america
1980s,how could it be
rhythm.and.blues,how could it be
1980s,king of rock
2000s,king of rock
alternative,king of rock
breaks,king of rock
new.york,king of rock
rock,king of rock
1980s,the show
beat.box,the show
electronic,juice
electro,b boys style
1980s,world class
electro,world class
electronic,world class
1980s,confusion
dance,confusion
electronic,confusion
rhythm.and.blues,confusion
1980s,terminator
electronic,terminator
1980s,naughty boy / whats your sign
electro,naughty boy / whats your sign
west.coast,naughty boy / whats your sign
1980s,rapp will never die
instrumental,rapp will never die
1980s,krush groove
ost,krush groove
1980s,let&#39;s jam
breaks,let&#39;s jam
dance,let&#39;s jam
electro,let&#39;s jam
electronic,let&#39;s jam
1980s,full force
rhythm.and.blues,full force
1980s,do you wanna get away
breaks,do you wanna get away
electro,do you wanna get away
electronic,do you wanna get away
freestyle,do you wanna get away
italo,do you wanna get away
italo.disco,do you wanna get away
1980s,schoolly d
1980s,big mouth
1980s,we got to dance
funk,we got to dance
nigeria,we got to dance
soul,we got to dance
1980s,electro 10
electro,electro 10
1980s,electro 9
electro,electro 9
1980s,electro 8
electro,electro 8
1980s,electro 7
electro,electro 7
1980s,funk it up &#39;85
electro,axel f / like eddie did
1980s,super bowl shuffle
novelty,super bowl shuffle
1980s,tommy boy greatest beats
1980s,boogie down
electronic,boogie down
synth.pop,boogie down
1980s,don&#39;t stop the rock
electro,don&#39;t stop the rock
electronic,don&#39;t stop the rock
electronic,she&#39;s a party girl
funk,she&#39;s a party girl
electronic,sun city
pop.rock,sun city
rock,sun city
synth.pop,sun city
1980s,street sounds electro 7
electro,street sounds electro 7
1980s,street sounds electro 8
electro,street sounds electro 8
1980s,street sounds electro 9
electro,street sounds electro 9
1980s,street sounds electro 6
electro,street sounds electro 6
1980s,rap 2
1980s,my hands are quicker than the eye
electro,my hands are quicker than the eye
1980s,we can&#39;t be held back
electro,we can&#39;t be held back
iran,nazi naz nakon &#1606;&#1575;&#1586;&#1740; &#1606;&#1575;&#1586; &#1606;&#1705;&#1606;
persian,nazi naz nakon &#1606;&#1575;&#1586;&#1740; &#1606;&#1575;&#1586; &#1606;&#1705;&#1606;
1980s,life is a ghetto
electro,life is a ghetto
1980s,triple threat
1980s,you ain&#39;t fresh
1980s,the battle
1980s,licensed to ill
east.coast,licensed to ill
1980s,music madness
electronic,music madness
new.york,music madness
united.states,music madness
1980s,planet rock: the album
electro,planet rock: the album
electro.funk,planet rock: the album
electronic,planet rock: the album
1980s,kool moe dee
new.york,kool moe dee
united.states,kool moe dee
1980s,back to the old school
1980s,holiday rap
electronic,holiday rap
new.york,you be illin&#39;
record.store.day.2012,you be illin&#39;
united.states,you be illin&#39;
1980s,walk this way
new.york,walk this way
rock,walk this way
united.states,walk this way
1980s,2 live is what we are
bass,2 live is what we are
breaks,2 live is what we are
electronic,2 live is what we are
miami,2 live is what we are
1980s,princess
dance,princess
disco,princess
synth.pop,princess
new.york,my adidas / peter piper
new.york,"1986-04-19 the apollo, new york city, ny"
united.states,"1986-04-19 the apollo, new york city, ny"
new.york,paul revere
new.york,"hot, cool &amp; vicious"
1980s,trow the d. and ghetto bass
bass,trow the d. and ghetto bass
electro,trow the d. and ghetto bass
jive.records,go see the doctor / monster crack
new.york,go see the doctor / monster crack
united.states,go see the doctor / monster crack
rock,fight for your right
1980s,raising hell
electro,raising hell
new.york,raising hell
1980s,celebration rap
maxi.single,celebration rap
netherlands,celebration rap
pop,celebration rap
1980s,kingdom blow
new.jack.swing,vicious rumors
rhythm.and.blues,vicious rumors
united.states,vicious rumors
1980s,back in black
jive.records,back in black
new.york,back in black
united.states,back in black
1980s,one track mind
breaks,one track mind
electro,one track mind
electronic,one track mind
west.coast,one track mind
1980s,on fire
east.coast,on fire
new.york,on fire
1980s,now that&#39;s what  i call music 8
dance,now that&#39;s what  i call music 8
pop,now that&#39;s what  i call music 8
rock,now that&#39;s what  i call music 8
rhythm.and.blues,winner in you
soul,winner in you
1980s,chasin a  dream
soul,chasin a  dream
1980s,weightless
electro,laff attack
electro,rapped in romance
philadelphia,girls ain&rsquo;t nothing but trouble
1980s,bellevue patient
1980s,something wild
experimental,something wild
new.wave,something wild
pop,something wild
reggae,something wild
rock,something wild
ska,something wild
world.music,something wild
philadelphia,bring the beat back
united.states,bring the beat back
new.york,big &amp; beautiful
electronic,c&#39;mon every beatbox
leftfield,c&#39;mon every beatbox
electronic,medicine show
leftfield,medicine show
electro,street sounds hip hop electro 12
1980s,i can&#39;t wait (to rock the mike)
downtempo.house,i can&#39;t wait (to rock the mike)
hip.house,i can&#39;t wait (to rock the mike)
1980s,juice
rhythm.and.blues,juice
1980s,to give you love / make you shake
1980s,the last laugh
punk,the last laugh
1980s,mr. magic&rsquo;s rap attack volume 2
dancehall,who the cap fits /mama used to say /billie jean
digital.dancehall,who the cap fits /mama used to say /billie jean
digital.reggae,who the cap fits /mama used to say /billie jean
electronic,who the cap fits /mama used to say /billie jean
reggae,who the cap fits /mama used to say /billie jean
reggae,black roses
1980s,say what! (live in london)
funk,say what! (live in london)
electro,bambaataa&#39;s theme (assault on precinct 13) / tension
1980s,stockholmsnatt
electronic,stockholmsnatt
pop,stockholmsnatt
rock,stockholmsnatt
1980s,good to go (short fuse) - original motion picture soundtrack
breaks,good to go (short fuse) - original motion picture soundtrack
electro,good to go (short fuse) - original motion picture soundtrack
funk.soul,good to go (short fuse) - original motion picture soundtrack
go.go,good to go (short fuse) - original motion picture soundtrack
stage.and.screen,good to go (short fuse) - original motion picture soundtrack
washington.dc,good to go (short fuse) - original motion picture soundtrack
1980s,drag rap
breaks,drag rap
electro,drag rap
go.go,the word / sardines 12&quot;
1990s,yo! bum rush the show
east.coast,criminal minded
new.york,criminal minded
united.states,criminal minded
1980s,and the posse
1980s,paid in full
new.york,paid in full
los.angeles,rhyme pays
1980s,bigger and deffer (bad)
new.york,bigger and deffer (bad)
1980s,pump up the volume
acid.house,pump up the volume
electronic,pump up the volume
house,pump up the volume
1980s,tackhead tape time
breaks,tackhead tape time
dub,tackhead tape time
electronic,tackhead tape time
industrial,tackhead tape time
trip.hop,tackhead tape time
booty,move somethin&rsquo;
breaks,move somethin&rsquo;
dance,move somethin&rsquo;
electronic,move somethin&rsquo;
miami,move somethin&rsquo;
miami.bass,move somethin&rsquo;
1980s,living large
new.york,living large
new.york,get into it
united.states,get into it
new.york,raw
united.states,raw
1980s,rock the house
philadelphia,rock the house
miami,we want some pussy
united.states,we want some pussy
1980s,how ya like me now
jive.records,how ya like me now
new.york,how ya like me now
united.states,how ya like me now
new.york,crushin&#39;
los.angeles,the boyz-n-the hood
united.states,the boyz-n-the hood
bay.area,born to mack
west.coast,born to mack
1980s,kool &amp; deadly (justicizms)
new.york,down by law
united.states,down by law
new.york,the best part of the fat boys
funk,"trouble over here, trouble over there"
1980s,girlfriend
dance,girlfriend
electronic,girlfriend
maxi.single,girlfriend
pop,girlfriend
rhythm.and.blues,girlfriend
rnbswing,girlfriend
1970s,less than zero
1980s,less than zero
funk,less than zero
metal,less than zero
pop,less than zero
soul,less than zero
1980s,ba-dop-boom-bang
new.york,ba-dop-boom-bang
new.york,move the crowd
united.states,move the crowd
1980s,&#39;86 in the mix!
bounce,throwdown
new.orleans,throwdown
1980s,open sesame
new.york,open sesame
united.states,open sesame
1980s,"so def, so fresh, so stupid"
miami.bass,"so def, so fresh, so stupid"
1980s,the hits album 7
pop,the hits album 7
rock,the hits album 7
1980s,christmas rap
christmas,christmas rap
new.york,dana dane with fame
electronic,love changes
funk,love changes
rhythm.and.blues,love changes
soul,love changes
1980s,just give the d.j. a break
bass.music,just give the d.j. a break
electro,just give the d.j. a break
electronic,just give the d.j. a break
miami.bass,just give the d.j. a break
new.york,lethal
united.states,lethal
1980s,travelling at the speed of thought
arabian,shopping
egyptian,shopping
indian,shopping
morrocan,shopping
swahili,shopping
turkish,shopping
world.music,shopping
electronic,diamonds
jazz,diamonds
pop,diamonds
1980s,hot rap
1980s,deep cut
electronic,deep cut
japan,deep cut
japanese,deep cut
jpop,deep cut
1980s,got to be tough
bass,got to be tough
1980s,brooklyn sessions demos
rock,brooklyn sessions demos
1980s,what&#39;s my name
electro,move: the rhythm kingdom
house,move: the rhythm kingdom
pop,move: the rhythm kingdom
1980s,the adventures of schoolly d
east.coast,the adventures of schoolly d
1980s,just somethin to do
bass,just somethin to do
miami.bass,just somethin to do
1980s,i want her
1990s,i want her
dance,i want her
garage.house,i want her
rhythm.and.blues,i want her
1980s,give it all you got (doggy style)
dance,give it all you got (doggy style)
electro,give it all you got (doggy style)
electronic,give it all you got (doggy style)
freestyle,give it all you got (doggy style)
1980s,boogie on broadway - best of fourth and broadway volume one
dance,boogie on broadway - best of fourth and broadway volume one
electronic,boogie on broadway - best of fourth and broadway volume one
freestyle,boogie on broadway - best of fourth and broadway volume one
electro,greatest hits of the street (rappin&#39; and scratchin&#39;)
1980s,planet jumper
electro,planet jumper
1980s,jealous fella&#39;s
bass.music,jealous fella&#39;s
electro,jealous fella&#39;s
1980s,naughty girls (need love too) / i surrender (to the spirit of the night)
downtempo,naughty girls (need love too) / i surrender (to the spirit of the night)
electronic,naughty girls (need love too) / i surrender (to the spirit of the night)
hi.nrg,naughty girls (need love too) / i surrender (to the spirit of the night)
house,naughty girls (need love too) / i surrender (to the spirit of the night)
synth.pop,naughty girls (need love too) / i surrender (to the spirit of the night)
1980s,cru&#39; in action!
1980s,christmas in hollis
christmas,christmas in hollis
1980s,heroes
united.kingdom,heroes
electronic,head to toe
funk,head to toe
funk..soul,head to toe
rnbswing,head to toe
synth.pop,head to toe
1980s,hairdooz bw crack killed applejack
electro,hairdooz bw crack killed applejack
funk,hairdooz bw crack killed applejack
p.funk,hairdooz bw crack killed applejack
pfunk,hairdooz bw crack killed applejack
1980s,wide open
electro,wide open
funk,wide open
new.jack.swing,wide open
p.funk,wide open
pfunk,wide open
rhythm.and.blues,wide open
1980s,hit mix
breaks,hit mix
dance,hit mix
electro,hit mix
electronic,hit mix
funk,hit mix
house,hit mix
pop,hit mix
1980s,the best of the world class wreckin&#39;
electro,the best of the world class wreckin&#39;
1980s,you&#39;re gonna get yours
new.york,you&#39;re gonna get yours
funk,no 1/2 steppin&#39;
funk.soul,no 1/2 steppin&#39;
rnb.swing,no 1/2 steppin&#39;
1980s,1987 (what the fuck is going on?)
alternative,1987 (what the fuck is going on?)
dance,1987 (what the fuck is going on?)
electronic,1987 (what the fuck is going on?)
house,1987 (what the fuck is going on?)
staff.picks,1987 (what the fuck is going on?)
1980s,tramp (remix) / push it
pop.rap,tramp (remix) / push it
rnbswing,tramp (remix) / push it
fusion,4 -when the world was young-
instrumental,4 -when the world was young-
japanese,4 -when the world was young-
synth.pop,4 -when the world was young-
1980s,the beat kicks
1980s,club 45 (keeps you movin&#39;)
electronic,club 45 (keeps you movin&#39;)
funk,club 45 (keeps you movin&#39;)
house,club 45 (keeps you movin&#39;)
soul,club 45 (keeps you movin&#39;)
new.york,it takes a nation of millions to hold us back
new.york,the great adventures of slick rick
united.states,the great adventures of slick rick
1980s,straight out the jungle
jazz,straight out the jungle
new.york,strictly business
los.angeles,power
west.coast,power
new.york,follow the leader
1980s,straight outta compton
gangsta.rap,straight outta compton
1980s,critical beatdown
1980s,strictly business
1980s,goin&#39; off
new.york,2 hype
united.states,2 hype
1980s,"in control, volume 1"
1980s,eazy-duz-it
gangsta,eazy-duz-it
los.angeles,eazy-duz-it
west.coast,eazy-duz-it
1980s,who?
rhythm.and.blues,who?
los.angeles,act a fool
united.states,act a fool
west.coast,act a fool
1980s,ease back / kool keith housing things
new.york,ease back / kool keith housing things
next.plateau,ease back / kool keith housing things
united.states,ease back / kool keith housing things
philadelphia,smoke some kill
united.states,smoke some kill
new.york,ain&#39;t no half steppin&#39;/get int
united.states,ain&#39;t no half steppin&#39;/get int
1980s,long live the kane
new.york,long live the kane
philadelphia,paper chase
united.states,paper chase
1980s,to the batmobile let&#39;s go
batman,to the batmobile let&#39;s go
breaks,to the batmobile let&#39;s go
dance,to the batmobile let&#39;s go
garage,to the batmobile let&#39;s go
house,to the batmobile let&#39;s go
1980s,supersonic/freak city
maxi.single,supersonic/freak city
seattle,swass
funk,harder than you
metal,harder than you
rock,harder than you
1980s,"he&#39;s the dj, i&#39;m the rapper"
philadelphia,"he&#39;s the dj, i&#39;m the rapper"
new.york,ain&#39;t no half steppin&#39;
united.states,ain&#39;t no half steppin&#39;
new.york,i&#39;ll take you there
united.states,i&#39;ll take you there
new.york,set it off
united.states,set it off
1980s,in full gear
new.york,in full gear
bay.area,life is...too short
west.coast,life is...too short
1980s,banned ep
1980s,tougher than leather
new.york,tougher than leather
conscious,night of the living baseheads
electro,straight from the basement of kooley high!
new.york,straight from the basement of kooley high!
1980s,running thangs
new.york,running thangs
new.york,it takes two
united.states,it takes two
jazz,spike lee&#39;s school daze
rhythm.and.blues,spike lee&#39;s school daze
1980s,lyte as a rock
1980s,grab it!
electronic,supersonic
los.angeles,supersonic
1980s,making trouble
b.boy.records,man &amp; his music
new.york,man &amp; his music
united.states,man &amp; his music
comdey,blowfly for president
comedy,blowfly for president
dirty,blowfly for president
funk,blowfly for president
soul,blowfly for president
new.york,"mary, mary"
united.states,"mary, mary"
1980s,the world&#39;s greatest entertainer
dancehall,raggamuffin hip hop
dub,raggamuffin hip hop
reggae,raggamuffin hip hop
united.kingdom,raggamuffin hip hop
1980s,def before dishonor
1980s,chubb rock
1980s,danger zone
1980s,girls i got &#39;em locked
delicious.vinyl,wild thing
los.angeles,wild thing
united.states,wild thing
1980s,push it
new.york,push it
united.states,push it
1980s,don&#39;t rock the boat
1980s,megablast / don&#39;t make me wait
acid.house,megablast / don&#39;t make me wait
dance,megablast / don&#39;t make me wait
house,megablast / don&#39;t make me wait
techno,megablast / don&#39;t make me wait
1980s,megablast rap
acid.house,megablast rap
dance,megablast rap
hip.house,megablast rap
house,megablast rap
funk,talkin&#39; all that jazz
jazz,talkin&#39; all that jazz
first.priority.music,what more can i say?
new.york,what more can i say?
united.states,what more can i say?
new.york,in full effect
united.states,in full effect
dance,heat it up
house,heat it up
london,heat it up
united.kingdom,heat it up
dancehall,unity
reggae,unity
1980s,guy
new.jack.swing,guy
rhythm.and.blues,guy
1980s,time machine
dance,time machine
electronic,time machine
house,time machine
pop,time machine
rock,time machine
philadelphia,where&#39;s the party at?
sleeping.bag.records,where&#39;s the party at?
indie,eden alley
new.wave,eden alley
pop,eden alley
pop.rock,eden alley
rock,eden alley
southern.rock,eden alley
new.york,back by popular demand
big.beat,because i got it like that
1980s,buffalo stance
club,buffalo stance
dance,buffalo stance
house,buffalo stance
pop,buffalo stance
techno,buffalo stance
1980s,just got paid
funk,just got paid
rnbswing,just got paid
soul,just got paid
alternative.rock,sgt. pepper knew my father
electronic,sgt. pepper knew my father
folk.rock,sgt. pepper knew my father
indie.rock,sgt. pepper knew my father
jazz,sgt. pepper knew my father
lounge,sgt. pepper knew my father
rock,sgt. pepper knew my father
1980s,original stylin&#39;
hilltop.hustlers,original stylin&#39;
1980s,colors
dance,colors
funk,colors
rhythm.and.blues,colors
soul,colors
1980s,what time is it? it&#39;s gucci time
miami,what time is it? it&#39;s gucci time
miami.bass,what time is it? it&#39;s gucci time
1980s,good groove
a.cappella,good groove
beats,good groove
breaks,good groove
guitar,good groove
london,good groove
scratches,good groove
uk.rapper,good groove
united.kingdom,good groove
1980s,dynamite
grand.puba,dynamite
1980s,the beatnigs
experimental,the beatnigs
industrial,the beatnigs
percussion,the beatnigs
